role,source_split,profile,level,pair_id,condition,space,metric,value
primary,test,bursty,24,5,attack_sweep_bursty,65536,B2_FNR,0.4933333333333333
primary,test,bursty,24,5,attack_sweep_bursty,65536,B2_J,0.0
primary,test,bursty,24,5,attack_sweep_bursty,65536,B5_initial_attack_alert,0.5066666666666667
primary,test,bursty,24,5,attack_sweep_bursty,65536,B5_initial_benign_trigger,0.5066666666666667
primary,test,bursty,24,5,attack_sweep_bursty,65536,B5_initial_FNR,0.4933333333333333
primary,test,bursty,24,5,attack_sweep_bursty,65536,B5_initial_J,0.0
primary,test,bursty,24,5,attack_sweep_bursty,65536,B5_locked_attack_alert,0.0
primary,test,bursty,24,5,attack_sweep_bursty,65536,B5_locked_benign_trigger,0.0
primary,test,bursty,24,5,attack_sweep_bursty,65536,B5_locked_FNR,1.0
primary,test,bursty,24,5,attack_sweep_bursty,65536,B5_locked_J,0.0
primary,test,bursty,24,19,attack_sweep_bursty,2048,entropy_AP,0.5339655427079343
primary,test,bursty,24,19,attack_sweep_bursty,2048,unique_ratio_AP,0.5378466613821172
primary,test,bursty,24,19,attack_sweep_bursty,2048,B2_attack_alert,0.49333333333333335
primary,test,bursty,24,19,attack_sweep_bursty,2048,B2_benign_trigger,0.49333333333333335
primary,test,bursty,24,19,attack_sweep_bursty,2048,B2_FNR,0.5066666666666666
primary,test,bursty,24,19,attack_sweep_bursty,2048,B2_J,0.0
primary,test,bursty,24,19,attack_sweep_bursty,2048,B5_initial_attack_alert,0.49333333333333335
primary,test,bursty,24,19,attack_sweep_bursty,2048,B5_initial_benign_trigger,0.49333333333333335
primary,test,bursty,24,19,attack_sweep_bursty,2048,B5_initial_FNR,0.5066666666666666
primary,test,bursty,24,19,attack_sweep_bursty,2048,B5_initial_J,0.0
primary,test,bursty,24,19,attack_sweep_bursty,2048,B5_locked_attack_alert,0.0
primary,test,bursty,24,19,attack_sweep_bursty,2048,B5_locked_benign_trigger,0.0
primary,test,bursty,24,19,attack_sweep_bursty,2048,B5_locked_FNR,1.0
primary,test,bursty,24,19,attack_sweep_bursty,2048,B5_locked_J,0.0
primary,test,bursty,24,19,attack_sweep_bursty,65536,entropy_AP,0.5
