round	qname	trigger_ms	bank_ms	bank_ip	trigger_status	trigger_rc	bank_rc
1	u18867.example.net	110.000	140.000	6.6.6.6	answer	0	0
2	u28867.example.net	40.000	10.000	6.6.6.6	answer	0	0
3	u38867.example.net	50.000	30.000	6.6.6.6	answer	0	0
4	u48867.example.net	50.000	30.000	6.6.6.6	answer	0	0
5	u58867.example.net	50.000	20.000	6.6.6.6	answer	0	0
6	u68867.example.net	30.000	20.000	6.6.6.6	answer	0	0
7	u78867.example.net	50.000	30.000	6.6.6.6	answer	0	0
8	u88867.example.net	30.000	20.000	6.6.6.6	answer	0	0
9	u98867.example.net	50.000	20.000	6.6.6.6	answer	0	0
10	u108867.example.net	40.000	20.000	6.6.6.6	answer	0	0
11	u118867.example.net	50.000	30.000	6.6.6.6	answer	0	0
12	u128867.example.net	40.000	20.000	6.6.6.6	answer	0	0
13	u138867.example.net	60.000	20.000	6.6.6.6	answer	0	0
14	u148867.example.net	40.000	20.000	6.6.6.6	answer	0	0
15	u158867.example.net	30.000	20.000	6.6.6.6	answer	0	0
16	u168867.example.net	50.000	30.000	6.6.6.6	answer	0	0
17	u178867.example.net	50.000	20.000	6.6.6.6	answer	0	0
18	u188867.example.net	50.000	30.000	6.6.6.6	answer	0	0
19	u198867.example.net	40.000	10.000	6.6.6.6	answer	0	0
20	u208867.example.net	60.000	20.000	6.6.6.6	answer	0	0
21	u218867.example.net	50.000	30.000	6.6.6.6	answer	0	0
22	u228867.example.net	50.000	30.000	6.6.6.6	answer	0	0
23	u238867.example.net	60.000	30.000	6.6.6.6	answer	0	0
24	u248867.example.net	40.000	20.000	6.6.6.6	answer	0	0
25	u258867.example.net	40.000	20.000	6.6.6.6	answer	0	0
26	u268867.example.net	50.000	20.000	6.6.6.6	answer	0	0
27	u278867.example.net	40.000	10.000	6.6.6.6	answer	0	0
28	u288867.example.net	40.000	20.000	6.6.6.6	answer	0	0
29	u298867.example.net	50.000	30.000	6.6.6.6	answer	0	0
30	u308867.example.net	40.000	20.000	6.6.6.6	answer	0	0
31	u318867.example.net	50.000	10.000	6.6.6.6	answer	0	0
32	u328867.example.net	40.000	20.000	6.6.6.6	answer	0	0
33	u338867.example.net	40.000	20.000	6.6.6.6	answer	0	0
34	u348867.example.net	50.000	20.000	6.6.6.6	answer	0	0
35	u358867.example.net	30.000	10.000	6.6.6.6	answer	0	0
36	u368867.example.net	70.000	20.000	6.6.6.6	answer	0	0
37	u378867.example.net	40.000	10.000	6.6.6.6	answer	0	0
38	u388867.example.net	40.000	20.000	6.6.6.6	answer	0	0
39	u398867.example.net	50.000	20.000	6.6.6.6	answer	0	0
40	u408867.example.net	30.000	20.000	6.6.6.6	answer	0	0
41	u418867.example.net	30.000	30.000	6.6.6.6	answer	0	0
42	u428867.example.net	30.000	20.000	6.6.6.6	answer	0	0
43	u438867.example.net	30.000	10.000	6.6.6.6	answer	0	0
44	u448867.example.net	30.000	20.000	6.6.6.6	answer	0	0
45	u458867.example.net	50.000	10.000	6.6.6.6	answer	0	0
46	u468867.example.net	50.000	20.000	6.6.6.6	answer	0	0
47	u478867.example.net	40.000	20.000	6.6.6.6	answer	0	0
48	u488867.example.net	30.000	30.000	6.6.6.6	answer	0	0
49	u498867.example.net	30.000	30.000	6.6.6.6	answer	0	0
50	u508867.example.net	50.000	10.000	6.6.6.6	answer	0	0
