round	qname	trigger_ms	bank_ms	bank_ip	trigger_status	trigger_rc	bank_rc
1	u18860.example.net	100.000	130.000	6.6.6.6	answer	0	0
2	u28861.example.net	60.000	10.000	6.6.6.6	answer	0	0
3	u38861.example.net	50.000	10.000	6.6.6.6	answer	0	0
4	u48861.example.net	50.000	10.000	6.6.6.6	answer	0	0
5	u58861.example.net	40.000	20.000	6.6.6.6	answer	0	0
6	u68861.example.net	40.000	20.000	6.6.6.6	answer	0	0
7	u78861.example.net	40.000	20.000	6.6.6.6	answer	0	0
8	u88861.example.net	50.000	30.000	6.6.6.6	answer	0	0
9	u98861.example.net	60.000	10.000	6.6.6.6	answer	0	0
10	u108861.example.net	50.000	20.000	6.6.6.6	answer	0	0
11	u118861.example.net	30.000	20.000	6.6.6.6	answer	0	0
12	u128861.example.net	60.000	10.000	6.6.6.6	answer	0	0
13	u138861.example.net	50.000	30.000	6.6.6.6	answer	0	0
14	u148861.example.net	40.000	20.000	6.6.6.6	answer	0	0
15	u158861.example.net	50.000	20.000	6.6.6.6	answer	0	0
16	u168861.example.net	50.000	10.000	6.6.6.6	answer	0	0
17	u178861.example.net	40.000	10.000	6.6.6.6	answer	0	0
18	u188861.example.net	30.000	10.000	6.6.6.6	answer	0	0
19	u198861.example.net	50.000	30.000	6.6.6.6	answer	0	0
20	u208861.example.net	30.000	10.000	6.6.6.6	answer	0	0
21	u218861.example.net	50.000	20.000	6.6.6.6	answer	0	0
22	u228861.example.net	40.000	20.000	6.6.6.6	answer	0	0
23	u238861.example.net	30.000	20.000	6.6.6.6	answer	0	0
24	u248861.example.net	40.000	30.000	6.6.6.6	answer	0	0
25	u258861.example.net	40.000	10.000	6.6.6.6	answer	0	0
26	u268861.example.net	40.000	20.000	6.6.6.6	answer	0	0
27	u278861.example.net	50.000	30.000	6.6.6.6	answer	0	0
28	u288861.example.net	50.000	30.000	6.6.6.6	answer	0	0
29	u298861.example.net	40.000	20.000	6.6.6.6	answer	0	0
30	u308861.example.net	40.000	20.000	6.6.6.6	answer	0	0
31	u318861.example.net	30.000	20.000	6.6.6.6	answer	0	0
32	u328861.example.net	40.000	10.000	6.6.6.6	answer	0	0
33	u338861.example.net	40.000	20.000	6.6.6.6	answer	0	0
34	u348861.example.net	30.000	30.000	6.6.6.6	answer	0	0
35	u358861.example.net	50.000	20.000	6.6.6.6	answer	0	0
36	u368861.example.net	50.000	10.000	6.6.6.6	answer	0	0
37	u378861.example.net	50.000	20.000	6.6.6.6	answer	0	0
38	u388861.example.net	50.000	20.000	6.6.6.6	answer	0	0
39	u398861.example.net	30.000	10.000	6.6.6.6	answer	0	0
40	u408861.example.net	60.000	10.000	6.6.6.6	answer	0	0
41	u418861.example.net	50.000	20.000	6.6.6.6	answer	0	0
42	u428861.example.net	30.000	20.000	6.6.6.6	answer	0	0
43	u438861.example.net	40.000	20.000	6.6.6.6	answer	0	0
44	u448861.example.net	50.000	20.000	6.6.6.6	answer	0	0
45	u458861.example.net	50.000	10.000	6.6.6.6	answer	0	0
46	u468861.example.net	30.000	20.000	6.6.6.6	answer	0	0
47	u478861.example.net	30.000	20.000	6.6.6.6	answer	0	0
48	u488861.example.net	50.000	20.000	6.6.6.6	answer	0	0
49	u498861.example.net	50.000	10.000	6.6.6.6	answer	0	0
50	u508861.example.net	30.000	30.000	6.6.6.6	answer	0	0
