case_id,n_runs,defense,control,any_poison_k,any_poison_rate,any_poison_wilson95_lo,any_poison_wilson95_hi,run_asr_mean,run_asr_ci95_lo,run_asr_ci95_hi,trigger_rate_mean,trigger_rate_ci95_lo,trigger_rate_ci95_hi,trigger_command_latency_p50_ms_mean,trigger_command_latency_p50_ms_ci95_lo,trigger_command_latency_p50_ms_ci95_hi,trigger_command_latency_p95_ms_mean,trigger_command_latency_p95_ms_ci95_lo,trigger_command_latency_p95_ms_ci95_hi,bank_lookup_latency_p50_ms_mean,bank_lookup_latency_p50_ms_ci95_lo,bank_lookup_latency_p50_ms_ci95_hi,bank_lookup_latency_p95_ms_mean,bank_lookup_latency_p95_ms_ci95_lo,bank_lookup_latency_p95_ms_ci95_hi,probe_rounds_per_s_mean,probe_rounds_per_s_ci95_lo,probe_rounds_per_s_ci95_hi,cpu_percent_mean_mean,cpu_percent_mean_ci95_lo,cpu_percent_mean_ci95_hi,cpu_percent_max_mean,cpu_percent_max_ci95_lo,cpu_percent_max_ci95_hi,memory_mib_mean_mean,memory_mib_mean_ci95_lo,memory_mib_mean_ci95_hi,memory_mib_max_mean,memory_mib_max_ci95_lo,memory_mib_max_ci95_hi,mean_samples_mean,mean_samples_ci95_lo,mean_samples_ci95_hi,mean_entropy_mean,mean_entropy_ci95_lo,mean_entropy_ci95_hi,mean_unique_ratio_mean,mean_unique_ratio_ci95_lo,mean_unique_ratio_ci95_hi,trigger_command_latency_p99_ms_mean,trigger_command_latency_p99_ms_ci95_lo,trigger_command_latency_p99_ms_ci95_hi,bank_lookup_latency_p99_ms_mean,bank_lookup_latency_p99_ms_ci95_lo,bank_lookup_latency_p99_ms_ci95_hi,tick_trigger_rate_mean,tick_trigger_rate_ci95_lo,tick_trigger_rate_ci95_hi,legitimate_answer_rate_mean,legitimate_answer_rate_ci95_lo,legitimate_answer_rate_ci95_hi,noanswer_rate_mean,noanswer_rate_ci95_lo,noanswer_rate_ci95_hi,observed_fragments_per_s_mean,observed_fragments_per_s_ci95_lo,observed_fragments_per_s_ci95_hi,any_poison_exact95_lo,any_poison_exact95_hi,any_false_trigger_k,any_false_trigger_n,any_false_trigger_rate,any_false_trigger_exact95_lo,any_false_trigger_exact95_hi
C0_attack_flood_b0,20,off,True,20,1.0,0.8388698745050668,0.9999999999999999,1.0,1.0,1.0,0.0,0.0,0.0,42.75,41.0,44.5,62.42499999999999,60.55,64.94999999999997,20.5,20.0,21.5,32.425,30.149999999999995,35.34999999999999,9.454861639654412,9.135478599449007,9.722269765324423,10.159249999999998,9.589166666666667,10.834625,12.9365,12.150500000000001,13.836999999999998,62.27358333333334,62.19166666666665,62.3575,62.628,62.507999999999996,62.745999999999995,17.830770420406857,17.341052900119728,18.232243716319058,3.8262987257101044,3.7947812316935936,3.851572231190013,0.9624669930710802,0.9585014338847996,0.966462369076172,87.39999999999993,83.16499999999994,91.72499999999991,85.20499999999979,81.46999999999979,89.0599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.387616492664085,9.079573048344399,9.656671592448124,0.8315665290169146,1.0,,,,,
C1_benign_low,20,on,False,0,0.0,0.0,0.1611301254949332,0.0,0.0,0.0,0.0,0.0,0.0,42.5,40.5,44.5,73.325,60.05,97.6,20.5,20.0,21.5,32.87499999999999,30.275,36.52499999999999,8.923066364217457,8.522248245512987,9.292365358577195,9.900374999999999,9.427458333333334,10.384958333333335,13.401999999999997,12.7595,14.065000000000001,62.243041666666656,62.156083333333335,62.34000000000002,62.54899999999999,62.434500000000014,62.67049999999999,22.3761068533676,21.85508705468248,22.81803331921228,4.309844146881866,4.28151953295733,4.334172438308046,0.9919658148667215,0.9885753697693594,0.9951737777955147,109.79499999999992,86.70499999999993,145.7099999999999,193.45999999999944,188.04999999999941,200.14499999999944,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,11.535409670444592,11.184440638773395,11.834395356372715,0.0,0.1684334709830853,0,20,0.0,0.0,0.1684334709830853
C2_benign_boundary,20,on,False,0,0.0,0.0,0.1611301254949332,0.0,0.0,0.0,0.0,0.0,0.0,41.75,40.25,43.5,71.57499999999999,59.1,95.07499999999996,20.0,20.0,20.0,30.5,30.0,31.5,9.03227362947626,8.667092442997856,9.32968844405759,13.87833333333333,12.972958333333334,14.910416666666666,18.092,16.3055,20.2495,62.225,62.159874999999985,62.29033333333334,62.50750000000001,62.404999999999994,62.61099999999999,40.85344295074513,40.43178729762202,41.219147891483196,5.284947930573555,5.267683264958338,5.300959228412376,0.9865190860978214,0.980875384944266,0.99154212021764,102.93999999999994,81.05499999999996,142.19999999999987,211.2449999999993,188.32499999999942,254.28999999999914,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,20.997277742422966,20.686218602782183,21.289318651799235,0.0,0.1684334709830853,0,20,0.0,0.0,0.1684334709830853
C3_attack_matched,20,on,False,20,1.0,0.8388698745050668,0.9999999999999999,1.0,1.0,1.0,0.0,0.0,0.0,43.25,41.0,45.75,88.1999999999999,81.54999999999993,96.14999999999993,21.0,20.0,23.0,33.699999999999996,30.55,38.07499999999999,8.563252549748947,8.121822072051035,8.921769196016452,13.632058333333337,12.980124999999997,14.434549999999998,18.3915,17.368500000000004,19.374000000000002,62.411458333333336,62.333749999999995,62.48737500000002,62.80599999999998,62.702499999999986,62.90699999999998,40.712989157213414,39.97516788686806,41.275421170456255,0.0,0.0,0.0,0.025985871007645146,0.025683154745920655,0.026395300570356772,277.2949999999995,261.5399999999995,295.1599999999995,99.18999999999974,93.32499999999978,105.25999999999974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.866750152285896,20.403253968284776,21.237918346856574,0.8315665290169146,1.0,,,,,
C4_attack_flood,20,on,False,20,1.0,0.8388698745050668,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,42.75,41.0,44.75,58.875,56.55,61.2,21.0,19.75,22.5,31.325,29.1,33.64999999999999,9.200126402805136,8.815925899767109,9.566767543098937,80.374375,77.34683333333332,82.46129166666668,83.95649999999999,83.09799999999998,84.794,63.29791666666667,63.14970833333334,63.46879166666666,63.72349999999999,63.51700000000001,64.011,421.3755597601383,365.4488678724811,479.845665705241,8.627382115902487,8.431195169288198,8.821067248021288,0.9946025100873264,0.9937868813226727,0.995447050474821,83.35999999999993,79.50499999999997,87.91999999999993,95.13999999999976,92.42499999999976,97.95499999999974,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,204.54860408259515,177.61763808697341,232.38292049979427,0.8315665290169146,1.0,,,,,
