split,profile,condition,role,level,pair_id,schedule_seed,query_seed,payload_seed,arrival_schedule_sha256,query_schedule_sha256,decisions,fragments_total,benign_fragments_total,attack_fragments_total,measurement_start_seconds,measurement_end_seconds,samples_mean,samples_p95,entropy_mean,unique_ratio_mean,blocks_legacy,blocks_combined,blocks_volume,blocks_entropy,blocks_unique,rate_legacy,rate_combined,rate_volume,rate_entropy,rate_unique,raw_file,raw_sha256
calibration,bursty,benign_bursty,benign,60,0,7535764254784489874,14887011713379673532,2602227253724334827,40823fe29842574b5c321e644d77dcff5c8aa9176457c33e7a5d34ba1aee4a70,bf7dd8c51bea4a9e96561fb4b16b3b83968959fe30faf35c1998fae8226ddba9,150,1310,1310,0,6.240286966221824,43.490286966221824,58.86,89.54999999999998,5.78450759294426,0.9879380372647465,150,150,150,150,150,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_60/pair_00.jsonl.gz,4fcb49b5b56bc51b37555094849164ef3b2b369f1904612c087dd8753b060324
calibration,bursty,benign_bursty,benign,60,1,1706549331713346407,3171094352845093217,7010532829369177798,d2075aee26c91732c545c16ee5c27e09157548feeb305440a1eec0c6cb7accbd,834726b06cbb488e7293c187df6dd7d15f7caaa99bd536b6fdf8476dd20bdba5,150,1273,1273,0,6.11573750584573,43.36573750584573,58.42666666666667,88.0,5.757384534708964,0.9822882622764451,150,150,150,150,150,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_60/pair_01.jsonl.gz,b2b7dad2e59c7d7ad1cb352405a6a22c611a9bad1d2fa159d2f1fd21432ab615
calibration,bursty,benign_bursty,benign,60,2,2326140318554644062,7512008502173857762,6494324689754188029,63618d4bc79b33c53f4042b39ac5febf994aa7d89d4fbf2119b93885fe07adfc,bad5d7badd8983b22d17cedad9da19253c73f1d5d0a5b0c557a769ea477aabe5,150,1321,1321,0,6.236762249017241,43.48676224901724,59.233333333333334,91.0,5.786238595205453,0.9860781302364319,150,149,149,150,150,1.0,0.9933333333333333,0.9933333333333333,1.0,1.0,raw_runs/calibration/benign_bursty/level_60/pair_02.jsonl.gz,8d29724ba933ec0e02555b00bdcf346e1d85fa5117d78722192e8017d54c66a0
calibration,bursty,benign_bursty,benign,60,3,14680328403015510371,2248628749486901378,17890813458572576362,c3d41e466588a93c4b5ae51aef766e9a8089f63a53386080c5268b99aa9c0d53,a1e6a0d15736217db3f0d220787f5e11eb64b463cb0c849393f33e8af455d882,150,1297,1297,0,6.21724112963443,43.46724112963443,59.88,90.54999999999998,5.8083707965258045,0.9874729642158343,150,150,150,150,150,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_60/pair_03.jsonl.gz,1ad140cac56b7719609134d6c863f2e25460106e9ed5d3c743581e62891d2b94
calibration,bursty,benign_bursty,benign,60,4,14151046593390010019,11209203794009926152,12379628670623062490,690f20fd141baaf828faa6c899ce1b20e293adbf1d5e9182346f86570ad541c6,ebea93135e52dc943b13a65a93f4f17b22997d3a5735f22e5621bc9880c7546c,150,1252,1252,0,6.122495085156401,43.3724950851564,59.2,87.09999999999997,5.795752594289323,0.9909943145058795,150,150,150,150,150,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_60/pair_04.jsonl.gz,fe5dbff473c97e3c390f40e8e55e1918fb856b7463a0ebb450477d60fa6cfd19
calibration,bursty,benign_bursty,benign,60,5,5736120164779405681,3194201755490833985,7310711613832847781,e3cfc1305766a921c589b9dfb2edb9b1557fe6be0ebcae2a0857be9edf8befc7,6a136447ac4298f0a5e3ff55f982d81e5ff5e36f80f6f7192fb0135865ced063,150,1305,1305,0,6.0926729465613665,43.342672946561365,58.653333333333336,86.09999999999997,5.770610486458605,0.9839923199469646,150,150,150,150,150,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_60/pair_05.jsonl.gz,1a927ce183c4d9d87767e82f5694b4199b8991a0606cdf583f9cbc1cd67c15a1
calibration,bursty,benign_bursty,benign,60,6,7575105235210998895,16638563698675333250,12099497734899173917,156bd01534933fdb3b0dba45baa999cd8e68dcbee34e399ae910d2efb983ede6,db49c448dc1e42fd954cf116fff13fba41c0a309fc94d4bd7a78105cb5e3c258,150,1275,1275,0,6.175257633208113,43.42525763320811,60.52,90.54999999999998,5.8207100208909965,0.9865035066655723,150,150,150,150,150,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_60/pair_06.jsonl.gz,8e5f80c0163e4ff67a740558f2adaa4bb8b25ec530bb1b621b3db84514176cc0
calibration,bursty,benign_bursty,benign,60,7,6637924036122564093,10157635117886852221,11038292206737271862,8b5ba5c275f86dab7c95a6406e9a33118541ba5e2f974ce45e08b8b3b7540889,5dce30ff4d326e62047fa10a084ff89ae1972f2272abcef7898f44db41f779a5,150,1328,1328,0,6.027981622927506,43.277981622927506,59.306666666666665,87.54999999999998,5.798379928307304,0.987998786255911,150,150,150,150,150,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_60/pair_07.jsonl.gz,3b89b4eb32bcca780da7dd331bb71ad1a343e29cc3e738929eea848ea56fdbf9
calibration,bursty,benign_bursty,benign,60,8,15540176733095735041,6110061519852723130,9697420305545389646,d298b78181460f88e0b5509ae60507529e53d02b1e84bbd18290d87b3f0df36c,f18de777607a5f42d999d25caa7162a213d114020ddb585a5cd7fc4e72078211,150,1304,1304,0,6.039930448862844,43.28993044886285,60.04,93.54999999999998,5.800206617778512,0.9886264707792859,150,149,149,150,150,1.0,0.9933333333333333,0.9933333333333333,1.0,1.0,raw_runs/calibration/benign_bursty/level_60/pair_08.jsonl.gz,33c29ce1866f6d49ec9cf9aae93182af7942f175f79d3949e51a68caec5679ea
calibration,bursty,benign_bursty,benign,60,9,8525633833741690363,7220218538478724129,16330190558349328110,8318bb957ead953003d8cea82cf8d8090287aa251ec52743273d451aafe29f19,75ac9c1f520d93232217e58cd347c38d42762b2916cf3299bf7abb80d7080004,150,1304,1304,0,6.063366673335704,43.31336667333571,59.18,92.0,5.784775141906176,0.9862739511776784,150,150,150,150,150,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_60/pair_09.jsonl.gz,ccc6cc6a46eea50717ee99c66b409c0aae77249af1ba16bb619482de01fbdcfb
