round	qname	trigger_ms	bank_ms	bank_ip	trigger_status	trigger_rc	bank_rc
1	u18729.example.net	90.000	170.000	6.6.6.6	answer	0	0
2	u28729.example.net	40.000	20.000	6.6.6.6	answer	0	0
3	u38729.example.net	310.000	30.000	6.6.6.6	answer	0	0
4	u48729.example.net	40.000	20.000	6.6.6.6	answer	0	0
5	u58729.example.net	40.000	10.000	6.6.6.6	answer	0	0
6	u68729.example.net	40.000	10.000	6.6.6.6	answer	0	0
7	u78729.example.net	40.000	20.000	6.6.6.6	answer	0	0
8	u88729.example.net	40.000	30.000	6.6.6.6	answer	0	0
9	u98729.example.net	60.000	10.000	6.6.6.6	answer	0	0
10	u108729.example.net	140.000	10.000	6.6.6.6	answer	0	0
11	u118729.example.net	40.000	30.000	6.6.6.6	answer	0	0
12	u128729.example.net	50.000	30.000	6.6.6.6	answer	0	0
13	u138729.example.net	40.000	20.000	6.6.6.6	answer	0	0
14	u148729.example.net	50.000	20.000	6.6.6.6	answer	0	0
15	u158729.example.net	40.000	30.000	6.6.6.6	answer	0	0
16	u168729.example.net	30.000	10.000	6.6.6.6	answer	0	0
17	u178729.example.net	60.000	20.000	6.6.6.6	answer	0	0
18	u188729.example.net	60.000	10.000	6.6.6.6	answer	0	0
19	u198729.example.net	30.000	10.000	6.6.6.6	answer	0	0
20	u208729.example.net	40.000	20.000	6.6.6.6	answer	0	0
21	u218729.example.net	40.000	20.000	6.6.6.6	answer	0	0
22	u228729.example.net	60.000	10.000	6.6.6.6	answer	0	0
23	u238729.example.net	50.000	10.000	6.6.6.6	answer	0	0
24	u248729.example.net	40.000	10.000	6.6.6.6	answer	0	0
25	u258729.example.net	40.000	10.000	6.6.6.6	answer	0	0
26	u268729.example.net	50.000	30.000	6.6.6.6	answer	0	0
27	u278729.example.net	40.000	20.000	6.6.6.6	answer	0	0
28	u288729.example.net	40.000	10.000	6.6.6.6	answer	0	0
29	u298729.example.net	60.000	10.000	6.6.6.6	answer	0	0
30	u308729.example.net	50.000	20.000	6.6.6.6	answer	0	0
31	u318729.example.net	30.000	20.000	6.6.6.6	answer	0	0
32	u328729.example.net	40.000	20.000	6.6.6.6	answer	0	0
33	u338729.example.net	40.000	20.000	6.6.6.6	answer	0	0
34	u348729.example.net	30.000	20.000	6.6.6.6	answer	0	0
35	u358729.example.net	40.000	20.000	6.6.6.6	answer	0	0
36	u368729.example.net	40.000	20.000	6.6.6.6	answer	0	0
37	u378729.example.net	50.000	20.000	6.6.6.6	answer	0	0
38	u388729.example.net	30.000	30.000	6.6.6.6	answer	0	0
39	u398729.example.net	40.000	10.000	6.6.6.6	answer	0	0
40	u408729.example.net	50.000	20.000	6.6.6.6	answer	0	0
41	u418729.example.net	40.000	30.000	6.6.6.6	answer	0	0
42	u428729.example.net	50.000	20.000	6.6.6.6	answer	0	0
43	u438729.example.net	40.000	20.000	6.6.6.6	answer	0	0
44	u448729.example.net	30.000	20.000	6.6.6.6	answer	0	0
45	u458729.example.net	60.000	20.000	6.6.6.6	answer	0	0
46	u468729.example.net	40.000	20.000	6.6.6.6	answer	0	0
47	u478729.example.net	40.000	30.000	6.6.6.6	answer	0	0
48	u488729.example.net	30.000	30.000	6.6.6.6	answer	0	0
49	u498729.example.net	60.000	20.000	6.6.6.6	answer	0	0
50	u508729.example.net	60.000	10.000	6.6.6.6	answer	0	0
