behavior,level_samples_per_window,variant,n_runs,blocks_total,decisions_total,fpr_pooled,fpr_run_mean,fpr_run_ci_lo,fpr_run_ci_hi,fpr_cp_ci_lo,fpr_cp_ci_hi
sequential,120,volume,20,6000,6000,1.000000,1.000000,1.000000,1.000000,0.999385,1.000000
sequential,120,entropy,20,6000,6000,1.000000,1.000000,1.000000,1.000000,0.999385,1.000000
sequential,120,unique,20,6000,6000,1.000000,1.000000,1.000000,1.000000,0.999385,1.000000
sequential,300,combined,20,6000,6000,1.000000,1.000000,1.000000,1.000000,0.999385,1.000000
sequential,300,volume,20,6000,6000,1.000000,1.000000,1.000000,1.000000,0.999385,1.000000
sequential,300,entropy,20,6000,6000,1.000000,1.000000,1.000000,1.000000,0.999385,1.000000
sequential,300,unique,20,6000,6000,1.000000,1.000000,1.000000,1.000000,0.999385,1.000000
smallpool16,5,combined,20,0,6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000615
smallpool16,5,volume,20,0,6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000615
smallpool16,5,entropy,20,0,6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000615
smallpool16,5,unique,20,5192,6000,0.865333,0.865333,0.852767,0.877900,0.856435,0.873875
smallpool16,12,combined,20,0,6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000615
smallpool16,12,volume,20,3,6000,0.000500,0.000500,-0.000263,0.001263,0.000103,0.001461
smallpool16,12,entropy,20,0,6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000615
smallpool16,12,unique,20,2990,6000,0.498333,0.498333,0.456760,0.539907,0.485602,0.511066
smallpool16,18,combined,20,0,6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000615
smallpool16,18,volume,20,770,6000,0.128333,0.128333,0.098383,0.158284,0.119969,0.137060
smallpool16,18,entropy,20,0,6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000615
smallpool16,18,unique,20,898,6000,0.149667,0.149667,0.125504,0.173829,0.140729,0.158947
smallpool16,24,combined,20,0,6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000615
smallpool16,24,volume,20,3336,6000,0.556000,0.556000,0.502152,0.609848,0.543320,0.568625
smallpool16,24,entropy,20,0,6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000615
smallpool16,24,unique,20,242,6000,0.040333,0.040333,0.023739,0.056928,0.035497,0.045623
smallpool16,36,combined,20,0,6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000615
smallpool16,36,volume,20,5931,6000,0.988500,0.988500,0.978384,0.998616,0.985468,0.991042
smallpool16,36,entropy,20,0,6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000615
smallpool16,36,unique,20,5,6000,0.000833,0.000833,-0.000911,0.002578,0.000271,0.001944
smallpool16,60,combined,20,0,6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000615
smallpool16,60,volume,20,6000,6000,1.000000,1.000000,1.000000,1.000000,0.999385,1.000000
smallpool16,60,entropy,20,0,6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000615
smallpool16,60,unique,20,0,6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000615
smallpool16,120,combined,20,0,6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000615
smallpool16,120,volume,20,6000,6000,1.000000,1.000000,1.000000,1.000000,0.999385,1.000000
smallpool16,120,entropy,20,0,6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000615
smallpool16,120,unique,20,0,6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000615
smallpool16,300,combined,20,0,6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000615
smallpool16,300,volume,20,6000,6000,1.000000,1.000000,1.000000,1.000000,0.999385,1.000000
smallpool16,300,entropy,20,0,6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000615
smallpool16,300,unique,20,0,6000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000615
