level_samples_per_window,behavior,run_idx,seed,decisions,blocks_legacy,blocks_combined,blocks_volume,blocks_entropy,blocks_unique,fpr_legacy,fpr_combined,fpr_volume,fpr_entropy,fpr_unique,entropy_mean,entropy_p95,samples_mean,unique_ratio_mean
5,sequential,19,20770846,300,300,0,0,0,300,1.000000,0.000000,0.000000,0.000000,1.000000,2.4286,3.3219,5.823,1.0000
5,smallpool16,0,20780834,300,300,0,0,0,257,1.000000,0.000000,0.000000,0.000000,0.856667,2.1360,2.8098,5.827,0.8558
5,smallpool16,1,20780835,300,300,0,0,0,246,1.000000,0.000000,0.000000,0.000000,0.820000,2.1280,2.8074,6.047,0.8448
5,smallpool16,2,20780836,300,300,0,0,0,261,1.000000,0.000000,0.000000,0.000000,0.870000,2.1972,3.0850,6.147,0.8666
5,smallpool16,3,20780837,300,300,0,0,0,268,1.000000,0.000000,0.000000,0.000000,0.893333,2.3502,3.0000,6.603,0.8606
5,smallpool16,4,20780838,300,300,0,0,0,256,1.000000,0.000000,0.000000,0.000000,0.853333,2.0555,2.9219,5.573,0.8525
5,smallpool16,5,20780839,300,300,0,0,0,267,1.000000,0.000000,0.000000,0.000000,0.890000,2.1759,3.0855,6.043,0.8568
5,smallpool16,6,20780840,300,300,0,0,0,269,1.000000,0.000000,0.000000,0.000000,0.896667,2.1115,2.8074,5.537,0.8768
5,smallpool16,7,20780841,300,300,0,0,0,253,1.000000,0.000000,0.000000,0.000000,0.843333,2.2591,2.9232,6.337,0.8526
5,smallpool16,8,20780842,300,300,0,0,0,254,1.000000,0.000000,0.000000,0.000000,0.846667,2.1579,2.8074,5.990,0.8523
5,smallpool16,9,20780843,300,300,0,0,0,273,1.000000,0.000000,0.000000,0.000000,0.910000,2.1688,2.8074,5.727,0.8865
5,smallpool16,10,20780844,300,300,0,0,0,259,1.000000,0.000000,0.000000,0.000000,0.863333,2.1513,2.8074,5.983,0.8578
5,smallpool16,11,20780845,300,300,0,0,0,251,1.000000,0.000000,0.000000,0.000000,0.836667,2.0875,2.8093,5.763,0.8498
5,smallpool16,12,20780846,300,300,0,0,0,275,1.000000,0.000000,0.000000,0.000000,0.916667,2.3005,3.0000,6.300,0.8782
5,smallpool16,13,20780847,300,300,0,0,0,257,1.000000,0.000000,0.000000,0.000000,0.856667,2.1906,3.1219,6.260,0.8396
5,smallpool16,14,20780848,300,300,0,0,0,261,1.000000,0.000000,0.000000,0.000000,0.870000,2.0665,2.9477,5.573,0.8646
5,smallpool16,15,20780849,300,300,0,0,0,261,1.000000,0.000000,0.000000,0.000000,0.870000,2.2197,2.9477,6.193,0.8541
5,smallpool16,16,20780850,300,300,0,0,0,246,1.000000,0.000000,0.000000,0.000000,0.820000,2.2431,2.9477,6.317,0.8436
5,smallpool16,17,20780851,300,300,0,0,0,264,1.000000,0.000000,0.000000,0.000000,0.880000,2.1522,2.8098,5.727,0.8702
5,smallpool16,18,20780852,300,300,0,0,0,254,1.000000,0.000000,0.000000,0.000000,0.846667,2.2102,2.9477,6.367,0.8335
5,smallpool16,19,20780853,300,300,0,0,0,260,1.000000,0.000000,0.000000,0.000000,0.866667,2.1789,2.9503,6.210,0.8489
12,random2048,0,21460841,300,300,0,0,69,300,1.000000,0.000000,0.000000,0.230000,1.000000,3.6146,4.1699,12.797,0.9971
12,random2048,1,21460842,300,300,0,0,69,300,1.000000,0.000000,0.000000,0.230000,1.000000,3.6312,4.2479,12.890,1.0000
12,random2048,2,21460843,300,300,0,0,44,300,1.000000,0.000000,0.000000,0.146667,1.000000,3.5963,4.0875,12.530,0.9966
12,random2048,3,21460844,300,300,0,0,51,300,1.000000,0.000000,0.000000,0.170000,1.000000,3.5234,4.2479,12.103,0.9965
12,random2048,4,21460845,300,300,0,0,89,300,1.000000,0.000000,0.000000,0.296667,1.000000,3.6447,4.3923,13.257,0.9970
12,random2048,5,21460846,300,300,0,0,36,300,1.000000,0.000000,0.000000,0.120000,1.000000,3.4594,4.0902,11.503,0.9992
12,random2048,6,21460847,300,300,0,0,65,300,1.000000,0.000000,0.000000,0.216667,1.000000,3.7267,4.3219,13.617,1.0000
12,random2048,7,21460848,300,300,5,5,37,300,1.000000,0.016667,0.016667,0.123333,1.000000,3.5107,4.1738,11.923,0.9994
12,random2048,8,21460849,300,300,0,0,48,300,1.000000,0.000000,0.000000,0.160000,1.000000,3.5050,4.0875,11.923,0.9953
12,random2048,9,21460850,300,300,0,0,59,300,1.000000,0.000000,0.000000,0.196667,1.000000,3.6658,4.1699,13.010,1.0000
12,random2048,10,21460851,300,300,0,0,62,300,1.000000,0.000000,0.000000,0.206667,1.000000,3.5637,4.1699,12.353,1.0000
12,random2048,11,21460852,300,300,2,2,73,300,1.000000,0.006667,0.006667,0.243333,1.000000,3.6475,4.3219,13.193,0.9925
12,random2048,12,21460853,300,300,1,1,70,300,1.000000,0.003333,0.003333,0.233333,1.000000,3.7176,4.3923,13.593,0.9994
12,random2048,13,21460854,300,300,0,0,53,300,1.000000,0.000000,0.000000,0.176667,1.000000,3.5916,4.0875,12.467,0.9952
12,random2048,14,21460855,300,300,0,0,69,300,1.000000,0.000000,0.000000,0.230000,1.000000,3.5395,4.1725,12.223,0.9987
12,random2048,15,21460856,300,300,0,0,70,300,1.000000,0.000000,0.000000,0.233333,1.000000,3.6325,4.1699,12.993,0.9983
12,random2048,16,21460857,300,300,0,0,69,300,1.000000,0.000000,0.000000,0.230000,1.000000,3.6271,4.1699,12.840,1.0000
12,random2048,17,21460858,300,300,0,0,48,300,1.000000,0.000000,0.000000,0.160000,1.000000,3.5883,4.2479,12.443,0.9987
12,random2048,18,21460859,300,300,0,0,39,300,1.000000,0.000000,0.000000,0.130000,1.000000,3.5947,4.0916,12.497,0.9953
12,random2048,19,21460860,300,300,0,0,42,300,1.000000,0.000000,0.000000,0.140000,1.000000,3.5057,4.0875,11.923,0.9946
12,sequential,0,21470848,300,300,0,0,57,300,1.000000,0.000000,0.000000,0.190000,1.000000,3.6276,4.0875,12.707,1.0000
12,sequential,1,21470849,300,300,5,5,88,300,1.000000,0.016667,0.016667,0.293333,1.000000,3.7100,4.3254,13.620,1.0000
12,sequential,2,21470850,300,300,0,0,86,300,1.000000,0.000000,0.000000,0.286667,1.000000,3.6166,4.2479,12.823,1.0000
12,sequential,3,21470851,300,300,0,0,90,300,1.000000,0.000000,0.000000,0.300000,1.000000,3.6423,4.3219,13.113,1.0000
12,sequential,4,21470852,300,300,0,0,50,300,1.000000,0.000000,0.000000,0.166667,1.000000,3.5960,4.0875,12.470,1.0000
12,sequential,5,21470853,300,300,0,0,90,300,1.000000,0.000000,0.000000,0.300000,1.000000,3.6908,4.2479,13.407,1.0000
12,sequential,6,21470854,300,300,0,0,44,300,1.000000,0.000000,0.000000,0.146667,1.000000,3.5210,4.0875,11.903,1.0000
12,sequential,7,21470855,300,300,0,0,50,300,1.000000,0.000000,0.000000,0.166667,1.000000,3.5161,4.1699,11.983,1.0000
12,sequential,8,21470856,300,300,0,0,67,300,1.000000,0.000000,0.000000,0.223333,1.000000,3.6689,4.0875,13.050,1.0000
12,sequential,9,21470857,300,300,0,0,74,300,1.000000,0.000000,0.000000,0.246667,1.000000,3.6205,4.1699,12.783,1.0000
12,sequential,10,21470858,300,300,1,1,79,300,1.000000,0.003333,0.003333,0.263333,1.000000,3.6254,4.2479,12.900,1.0000
12,sequential,11,21470859,300,300,3,3,132,300,1.000000,0.010000,0.010000,0.440000,1.000000,3.8102,4.4594,14.647,1.0000
12,sequential,12,21470860,300,300,0,0,63,300,1.000000,0.000000,0.000000,0.210000,1.000000,3.5865,4.0916,12.447,1.0000
12,sequential,13,21470861,300,300,6,6,60,300,1.000000,0.020000,0.020000,0.200000,1.000000,3.6625,4.3219,13.107,1.0000
12,sequential,14,21470862,300,300,0,0,92,300,1.000000,0.000000,0.000000,0.306667,1.000000,3.6914,4.1738,13.393,1.0000
12,sequential,15,21470863,300,300,0,0,54,300,1.000000,0.000000,0.000000,0.180000,1.000000,3.6469,4.1699,12.857,1.0000
12,sequential,16,21470864,300,300,0,0,75,300,1.000000,0.000000,0.000000,0.250000,1.000000,3.6653,4.1699,13.143,1.0000
12,sequential,17,21470865,300,300,0,0,89,300,1.000000,0.000000,0.000000,0.296667,1.000000,3.7215,4.3923,13.737,1.0000
12,sequential,18,21470866,300,300,0,0,56,300,1.000000,0.000000,0.000000,0.186667,1.000000,3.5956,4.0916,12.500,1.0000
12,sequential,19,21470867,300,300,0,0,46,300,1.000000,0.000000,0.000000,0.153333,1.000000,3.5572,4.0875,12.180,1.0000
12,smallpool16,0,21480855,300,300,0,0,0,142,1.000000,0.000000,0.000000,0.000000,0.473333,2.9449,3.4184,12.720,0.6969
12,smallpool16,1,21480856,300,300,0,0,0,160,1.000000,0.000000,0.000000,0.000000,0.533333,3.0125,3.5002,12.837,0.7112
12,smallpool16,2,21480857,300,300,0,0,0,108,1.000000,0.000000,0.000000,0.000000,0.360000,2.9695,3.3927,13.447,0.6678
12,smallpool16,3,21480858,300,300,0,0,0,160,1.000000,0.000000,0.000000,0.000000,0.533333,2.9171,3.5036,12.263,0.7077
12,smallpool16,4,21480859,300,300,0,0,0,138,1.000000,0.000000,0.000000,0.000000,0.460000,3.0681,3.4992,13.570,0.6959
12,smallpool16,5,21480860,300,300,0,0,0,146,1.000000,0.000000,0.000000,0.000000,0.486667,2.9027,3.3283,12.257,0.7059
12,smallpool16,6,21480861,300,300,0,1,0,134,1.000000,0.000000,0.003333,0.000000,0.446667,2.8422,3.3795,12.057,0.6925
12,smallpool16,7,21480862,300,300,0,0,0,163,1.000000,0.000000,0.000000,0.000000,0.543333,2.9948,3.5034,12.713,0.7100
12,smallpool16,8,21480863,300,300,0,0,0,193,1.000000,0.000000,0.000000,0.000000,0.643333,2.9546,3.3788,11.873,0.7337
12,smallpool16,9,21480864,300,300,0,0,0,162,1.000000,0.000000,0.000000,0.000000,0.540000,2.9727,3.4994,12.210,0.7173
12,smallpool16,10,21480865,300,300,0,2,0,165,1.000000,0.000000,0.006667,0.000000,0.550000,3.0746,3.5772,13.480,0.7154
12,smallpool16,11,21480866,300,300,0,0,0,157,1.000000,0.000000,0.000000,0.000000,0.523333,2.9399,3.3935,12.230,0.7104
12,smallpool16,12,21480867,300,300,0,0,0,114,1.000000,0.000000,0.000000,0.000000,0.380000,3.0320,3.5393,13.573,0.6890
