round	qname	trigger_ms	bank_ms	bank_ip	trigger_status	trigger_rc	bank_rc
1	u18723.example.net	120.000	320.000	203.0.113.80	answer	0	0
2	u28723.example.net	50.000	30.000	203.0.113.80	answer	0	0
3	u38723.example.net	40.000	10.000	203.0.113.80	answer	0	0
4	u48723.example.net	50.000	20.000	203.0.113.80	answer	0	0
5	u58723.example.net	40.000	20.000	203.0.113.80	answer	0	0
6	u68723.example.net	40.000	10.000	203.0.113.80	answer	0	0
7	u78723.example.net	40.000	20.000	203.0.113.80	answer	0	0
8	u88723.example.net	50.000	10.000	203.0.113.80	answer	0	0
9	u98723.example.net	70.000	10.000	203.0.113.80	answer	0	0
10	u108723.example.net	50.000	20.000	203.0.113.80	answer	0	0
11	u118723.example.net	50.000	20.000	203.0.113.80	answer	0	0
12	u128723.example.net	40.000	20.000	203.0.113.80	answer	0	0
13	u138723.example.net	50.000	30.000	203.0.113.80	answer	0	0
14	u148723.example.net	30.000	20.000	203.0.113.80	answer	0	0
15	u158723.example.net	40.000	20.000	203.0.113.80	answer	0	0
16	u168723.example.net	50.000	20.000	203.0.113.80	answer	0	0
17	u178723.example.net	40.000	20.000	203.0.113.80	answer	0	0
18	u188723.example.net	50.000	30.000	203.0.113.80	answer	0	0
19	u198723.example.net	30.000	10.000	203.0.113.80	answer	0	0
20	u208723.example.net	40.000	30.000	203.0.113.80	answer	0	0
21	u218723.example.net	50.000	10.000	203.0.113.80	answer	0	0
22	u228723.example.net	20.000	20.000	203.0.113.80	answer	0	0
23	u238723.example.net	40.000	10.000	203.0.113.80	answer	0	0
24	u248723.example.net	40.000	10.000	203.0.113.80	answer	0	0
25	u258723.example.net	40.000	30.000	203.0.113.80	answer	0	0
26	u268723.example.net	20.000	20.000	203.0.113.80	answer	0	0
27	u278723.example.net	30.000	10.000	203.0.113.80	answer	0	0
28	u288723.example.net	50.000	20.000	203.0.113.80	answer	0	0
29	u298723.example.net	40.000	30.000	203.0.113.80	answer	0	0
30	u308723.example.net	60.000	20.000	203.0.113.80	answer	0	0
31	u318723.example.net	40.000	20.000	203.0.113.80	answer	0	0
32	u328723.example.net	50.000	20.000	203.0.113.80	answer	0	0
33	u338723.example.net	40.000	30.000	203.0.113.80	answer	0	0
34	u348723.example.net	50.000	20.000	203.0.113.80	answer	0	0
35	u358723.example.net	50.000	20.000	203.0.113.80	answer	0	0
36	u368723.example.net	50.000	10.000	203.0.113.80	answer	0	0
37	u378723.example.net	50.000	10.000	203.0.113.80	answer	0	0
38	u388723.example.net	30.000	10.000	203.0.113.80	answer	0	0
39	u398723.example.net	50.000	10.000	203.0.113.80	answer	0	0
40	u408723.example.net	50.000	10.000	203.0.113.80	answer	0	0
41	u418723.example.net	60.000	20.000	203.0.113.80	answer	0	0
42	u428723.example.net	40.000	10.000	203.0.113.80	answer	0	0
43	u438723.example.net	30.000	10.000	203.0.113.80	answer	0	0
44	u448723.example.net	30.000	20.000	203.0.113.80	answer	0	0
45	u458723.example.net	40.000	20.000	203.0.113.80	answer	0	0
46	u468723.example.net	40.000	20.000	203.0.113.80	answer	0	0
47	u478723.example.net	30.000	20.000	203.0.113.80	answer	0	0
48	u488723.example.net	30.000	20.000	203.0.113.80	answer	0	0
49	u498723.example.net	60.000	20.000	203.0.113.80	answer	0	0
50	u508723.example.net	50.000	10.000	203.0.113.80	answer	0	0
