round	qname	trigger_ms	bank_ms	bank_ip	trigger_status	trigger_rc	bank_rc
1	u18935.example.net	90.000	140.000	6.6.6.6	answer	0	0
2	u28935.example.net	50.000	30.000	6.6.6.6	answer	0	0
3	u38935.example.net	40.000	20.000	6.6.6.6	answer	0	0
4	u48935.example.net	30.000	40.000	6.6.6.6	answer	0	0
5	u58935.example.net	30.000	20.000	6.6.6.6	answer	0	0
6	u68935.example.net	50.000	30.000	6.6.6.6	answer	0	0
7	u78935.example.net	30.000	30.000	6.6.6.6	answer	0	0
8	u88935.example.net	50.000	20.000	6.6.6.6	answer	0	0
9	u98935.example.net	50.000	30.000	6.6.6.6	answer	0	0
10	u108935.example.net	50.000	40.000	6.6.6.6	answer	0	0
11	u118935.example.net	60.000	20.000	6.6.6.6	answer	0	0
12	u128935.example.net	30.000	40.000	6.6.6.6	answer	0	0
13	u138935.example.net	40.000	30.000	6.6.6.6	answer	0	0
14	u148935.example.net	40.000	20.000	6.6.6.6	answer	0	0
15	u158935.example.net	40.000	30.000	6.6.6.6	answer	0	0
16	u168935.example.net	50.000	30.000	6.6.6.6	answer	0	0
17	u178935.example.net	50.000	20.000	6.6.6.6	answer	0	0
18	u188935.example.net	40.000	40.000	6.6.6.6	answer	0	0
19	u198935.example.net	40.000	20.000	6.6.6.6	answer	0	0
20	u208935.example.net	60.000	40.000	6.6.6.6	answer	0	0
21	u218935.example.net	50.000	30.000	6.6.6.6	answer	0	0
22	u228935.example.net	50.000	20.000	6.6.6.6	answer	0	0
23	u238935.example.net	50.000	30.000	6.6.6.6	answer	0	0
24	u248935.example.net	50.000	30.000	6.6.6.6	answer	0	0
25	u258935.example.net	50.000	40.000	6.6.6.6	answer	0	0
26	u268936.example.net	60.000	20.000	6.6.6.6	answer	0	0
27	u278936.example.net	50.000	20.000	6.6.6.6	answer	0	0
28	u288936.example.net	40.000	30.000	6.6.6.6	answer	0	0
29	u298936.example.net	40.000	20.000	6.6.6.6	answer	0	0
30	u308936.example.net	30.000	30.000	6.6.6.6	answer	0	0
31	u318936.example.net	50.000	20.000	6.6.6.6	answer	0	0
32	u328936.example.net	70.000	30.000	6.6.6.6	answer	0	0
33	u338936.example.net	60.000	30.000	6.6.6.6	answer	0	0
34	u348936.example.net	40.000	30.000	6.6.6.6	answer	0	0
35	u358936.example.net	40.000	20.000	6.6.6.6	answer	0	0
36	u368936.example.net	50.000	30.000	6.6.6.6	answer	0	0
37	u378936.example.net	50.000	30.000	6.6.6.6	answer	0	0
38	u388936.example.net	30.000	20.000	6.6.6.6	answer	0	0
39	u398936.example.net	50.000	20.000	6.6.6.6	answer	0	0
40	u408936.example.net	40.000	30.000	6.6.6.6	answer	0	0
41	u418936.example.net	50.000	20.000	6.6.6.6	answer	0	0
42	u428936.example.net	50.000	30.000	6.6.6.6	answer	0	0
43	u438936.example.net	40.000	20.000	6.6.6.6	answer	0	0
44	u448936.example.net	40.000	30.000	6.6.6.6	answer	0	0
45	u458936.example.net	50.000	50.000	6.6.6.6	answer	0	0
46	u468936.example.net	80.000	60.000	6.6.6.6	answer	0	0
47	u478936.example.net	60.000	30.000	6.6.6.6	answer	0	0
48	u488936.example.net	50.000	40.000	6.6.6.6	answer	0	0
49	u498936.example.net	50.000	30.000	6.6.6.6	answer	0	0
50	u508936.example.net	50.000	20.000	6.6.6.6	answer	0	0
