round	qname	trigger_ms	bank_ms	bank_ip	trigger_status	trigger_rc	bank_rc
1	u18904.example.net	110.000	340.000	203.0.113.80	answer	0	0
2	u28904.example.net	40.000	20.000	203.0.113.80	answer	0	0
3	u38904.example.net	40.000	20.000	203.0.113.80	answer	0	0
4	u48904.example.net	40.000	20.000	203.0.113.80	answer	0	0
5	u58904.example.net	30.000	10.000	203.0.113.80	answer	0	0
6	u68904.example.net	30.000	20.000	203.0.113.80	answer	0	0
7	u78904.example.net	40.000	20.000	203.0.113.80	answer	0	0
8	u88904.example.net	40.000	20.000	203.0.113.80	answer	0	0
9	u98904.example.net	40.000	20.000	203.0.113.80	answer	0	0
10	u108904.example.net	40.000	20.000	203.0.113.80	answer	0	0
11	u118904.example.net	60.000	20.000	203.0.113.80	answer	0	0
12	u128904.example.net	50.000	20.000	203.0.113.80	answer	0	0
13	u138904.example.net	60.000	20.000	203.0.113.80	answer	0	0
14	u148904.example.net	70.000	20.000	203.0.113.80	answer	0	0
15	u158904.example.net	50.000	20.000	203.0.113.80	answer	0	0
16	u168904.example.net	60.000	20.000	203.0.113.80	answer	0	0
17	u178904.example.net	60.000	20.000	203.0.113.80	answer	0	0
18	u188904.example.net	50.000	20.000	203.0.113.80	answer	0	0
19	u198904.example.net	20.000	10.000	203.0.113.80	answer	0	0
20	u208904.example.net	50.000	30.000	203.0.113.80	answer	0	0
21	u218904.example.net	40.000	20.000	203.0.113.80	answer	0	0
22	u228904.example.net	30.000	20.000	203.0.113.80	answer	0	0
23	u238904.example.net	40.000	10.000	203.0.113.80	answer	0	0
24	u248904.example.net	50.000	20.000	203.0.113.80	answer	0	0
25	u258904.example.net	50.000	20.000	203.0.113.80	answer	0	0
26	u268905.example.net	40.000	30.000	203.0.113.80	answer	0	0
27	u278905.example.net	50.000	10.000	203.0.113.80	answer	0	0
28	u288905.example.net	40.000	20.000	203.0.113.80	answer	0	0
29	u298905.example.net	60.000	20.000	203.0.113.80	answer	0	0
30	u308905.example.net	50.000	20.000	203.0.113.80	answer	0	0
31	u318905.example.net	50.000	40.000	203.0.113.80	answer	0	0
32	u328905.example.net	40.000	20.000	203.0.113.80	answer	0	0
33	u338905.example.net	30.000	10.000	203.0.113.80	answer	0	0
34	u348905.example.net	40.000	20.000	203.0.113.80	answer	0	0
35	u358905.example.net	30.000	30.000	203.0.113.80	answer	0	0
36	u368905.example.net	40.000	20.000	203.0.113.80	answer	0	0
37	u378905.example.net	50.000	20.000	203.0.113.80	answer	0	0
38	u388905.example.net	50.000	20.000	203.0.113.80	answer	0	0
39	u398905.example.net	40.000	20.000	203.0.113.80	answer	0	0
40	u408905.example.net	40.000	10.000	203.0.113.80	answer	0	0
41	u418905.example.net	40.000	20.000	203.0.113.80	answer	0	0
42	u428905.example.net	50.000	30.000	203.0.113.80	answer	0	0
43	u438905.example.net	30.000	20.000	203.0.113.80	answer	0	0
44	u448905.example.net	40.000	20.000	203.0.113.80	answer	0	0
45	u458905.example.net	50.000	20.000	203.0.113.80	answer	0	0
46	u468905.example.net	30.000	30.000	203.0.113.80	answer	0	0
47	u478905.example.net	40.000	20.000	203.0.113.80	answer	0	0
48	u488905.example.net	50.000	20.000	203.0.113.80	answer	0	0
49	u498905.example.net	50.000	20.000	203.0.113.80	answer	0	0
50	u508905.example.net	50.000	20.000	203.0.113.80	answer	0	0
