round	qname	trigger_ms	bank_ms	bank_ip	trigger_status	trigger_rc	bank_rc
1	u18981.example.net	90.000	140.000	6.6.6.6	answer	0	0
2	u28981.example.net	50.000	30.000	6.6.6.6	answer	0	0
3	u38981.example.net	40.000	20.000	6.6.6.6	answer	0	0
4	u48981.example.net	60.000	40.000	6.6.6.6	answer	0	0
5	u58981.example.net	40.000	20.000	6.6.6.6	answer	0	0
6	u68981.example.net	60.000	10.000	6.6.6.6	answer	0	0
7	u78981.example.net	40.000	30.000	6.6.6.6	answer	0	0
8	u88981.example.net	60.000	30.000	6.6.6.6	answer	0	0
9	u98981.example.net	60.000	20.000	6.6.6.6	answer	0	0
10	u108981.example.net	40.000	70.000	6.6.6.6	answer	0	0
11	u118981.example.net	70.000	30.000	6.6.6.6	answer	0	0
12	u128981.example.net	50.000	30.000	6.6.6.6	answer	0	0
13	u138981.example.net	50.000	60.000	6.6.6.6	answer	0	0
14	u148981.example.net	80.000	40.000	6.6.6.6	answer	0	0
15	u158981.example.net	70.000	30.000	6.6.6.6	answer	0	0
16	u168981.example.net	60.000	50.000	6.6.6.6	answer	0	0
17	u178981.example.net	70.000	40.000	6.6.6.6	answer	0	0
18	u188981.example.net	60.000	40.000	6.6.6.6	answer	0	0
19	u198981.example.net	40.000	40.000	6.6.6.6	answer	0	0
20	u208981.example.net	50.000	40.000	6.6.6.6	answer	0	0
21	u218981.example.net	60.000	30.000	6.6.6.6	answer	0	0
22	u228981.example.net	50.000	30.000	6.6.6.6	answer	0	0
23	u238981.example.net	50.000	30.000	6.6.6.6	answer	0	0
24	u248981.example.net	50.000	20.000	6.6.6.6	answer	0	0
25	u258981.example.net	50.000	20.000	6.6.6.6	answer	0	0
26	u268981.example.net	40.000	20.000	6.6.6.6	answer	0	0
27	u278981.example.net	40.000	20.000	6.6.6.6	answer	0	0
28	u288981.example.net	40.000	20.000	6.6.6.6	answer	0	0
29	u298981.example.net	60.000	20.000	6.6.6.6	answer	0	0
30	u308981.example.net	40.000	30.000	6.6.6.6	answer	0	0
31	u318981.example.net	50.000	30.000	6.6.6.6	answer	0	0
32	u328981.example.net	50.000	30.000	6.6.6.6	answer	0	0
33	u338981.example.net	50.000	30.000	6.6.6.6	answer	0	0
34	u348982.example.net	50.000	30.000	6.6.6.6	answer	0	0
35	u358982.example.net	40.000	30.000	6.6.6.6	answer	0	0
36	u368982.example.net	40.000	40.000	6.6.6.6	answer	0	0
37	u378982.example.net	60.000	20.000	6.6.6.6	answer	0	0
38	u388982.example.net	50.000	30.000	6.6.6.6	answer	0	0
39	u398982.example.net	50.000	30.000	6.6.6.6	answer	0	0
40	u408982.example.net	60.000	20.000	6.6.6.6	answer	0	0
41	u418982.example.net	50.000	20.000	6.6.6.6	answer	0	0
42	u428982.example.net	40.000	40.000	6.6.6.6	answer	0	0
43	u438982.example.net	50.000	30.000	6.6.6.6	answer	0	0
44	u448982.example.net	50.000	30.000	6.6.6.6	answer	0	0
45	u458982.example.net	40.000	10.000	6.6.6.6	answer	0	0
46	u468982.example.net	40.000	10.000	6.6.6.6	answer	0	0
47	u478982.example.net	60.000	20.000	6.6.6.6	answer	0	0
48	u488982.example.net	50.000	30.000	6.6.6.6	answer	0	0
49	u498982.example.net	60.000	40.000	6.6.6.6	answer	0	0
50	u508982.example.net	70.000	20.000	6.6.6.6	answer	0	0
