round	qname	trigger_ms	bank_ms	bank_ip	trigger_status	trigger_rc	bank_rc
1	u18707.example.net	110.000	180.000	6.6.6.6	answer	0	0
2	u28707.example.net	40.000	10.000	6.6.6.6	answer	0	0
3	u38707.example.net	50.000	20.000	6.6.6.6	answer	0	0
4	u48707.example.net	50.000	20.000	6.6.6.6	answer	0	0
5	u58707.example.net	50.000	10.000	6.6.6.6	answer	0	0
6	u68707.example.net	40.000	10.000	6.6.6.6	answer	0	0
7	u78707.example.net	40.000	20.000	6.6.6.6	answer	0	0
8	u88707.example.net	40.000	10.000	6.6.6.6	answer	0	0
9	u98707.example.net	50.000	10.000	6.6.6.6	answer	0	0
10	u108707.example.net	40.000	10.000	6.6.6.6	answer	0	0
11	u118707.example.net	50.000	10.000	6.6.6.6	answer	0	0
12	u128707.example.net	50.000	10.000	6.6.6.6	answer	0	0
13	u138707.example.net	50.000	10.000	6.6.6.6	answer	0	0
14	u148707.example.net	40.000	20.000	6.6.6.6	answer	0	0
15	u158707.example.net	40.000	20.000	6.6.6.6	answer	0	0
16	u168707.example.net	50.000	20.000	6.6.6.6	answer	0	0
17	u178707.example.net	40.000	20.000	6.6.6.6	answer	0	0
18	u188707.example.net	40.000	30.000	6.6.6.6	answer	0	0
19	u198707.example.net	40.000	20.000	6.6.6.6	answer	0	0
20	u208707.example.net	40.000	10.000	6.6.6.6	answer	0	0
21	u218707.example.net	50.000	10.000	6.6.6.6	answer	0	0
22	u228707.example.net	30.000	20.000	6.6.6.6	answer	0	0
23	u238707.example.net	50.000	10.000	6.6.6.6	answer	0	0
24	u248707.example.net	50.000	20.000	6.6.6.6	answer	0	0
25	u258707.example.net	30.000	20.000	6.6.6.6	answer	0	0
26	u268707.example.net	40.000	20.000	6.6.6.6	answer	0	0
27	u278707.example.net	50.000	30.000	6.6.6.6	answer	0	0
28	u288707.example.net	30.000	10.000	6.6.6.6	answer	0	0
29	u298707.example.net	50.000	20.000	6.6.6.6	answer	0	0
30	u308707.example.net	30.000	10.000	6.6.6.6	answer	0	0
31	u318707.example.net	50.000	20.000	6.6.6.6	answer	0	0
32	u328707.example.net	40.000	10.000	6.6.6.6	answer	0	0
33	u338708.example.net	40.000	10.000	6.6.6.6	answer	0	0
34	u348708.example.net	40.000	10.000	6.6.6.6	answer	0	0
35	u358708.example.net	40.000	10.000	6.6.6.6	answer	0	0
36	u368708.example.net	40.000	20.000	6.6.6.6	answer	0	0
37	u378708.example.net	40.000	20.000	6.6.6.6	answer	0	0
38	u388708.example.net	30.000	30.000	6.6.6.6	answer	0	0
39	u398708.example.net	30.000	10.000	6.6.6.6	answer	0	0
40	u408708.example.net	40.000	20.000	6.6.6.6	answer	0	0
41	u418708.example.net	40.000	30.000	6.6.6.6	answer	0	0
42	u428708.example.net	50.000	20.000	6.6.6.6	answer	0	0
43	u438708.example.net	60.000	20.000	6.6.6.6	answer	0	0
44	u448708.example.net	20.000	30.000	6.6.6.6	answer	0	0
45	u458708.example.net	30.000	20.000	6.6.6.6	answer	0	0
46	u468708.example.net	20.000	20.000	6.6.6.6	answer	0	0
47	u478708.example.net	40.000	20.000	6.6.6.6	answer	0	0
48	u488708.example.net	30.000	20.000	6.6.6.6	answer	0	0
49	u498708.example.net	60.000	10.000	6.6.6.6	answer	0	0
50	u508708.example.net	30.000	20.000	6.6.6.6	answer	0	0
