round	qname	trigger_ms	bank_ms	bank_ip	trigger_status	trigger_rc	bank_rc
1	u18775.example.net	110.000	120.000	6.6.6.6	answer	0	0
2	u28775.example.net	40.000	20.000	6.6.6.6	answer	0	0
3	u38775.example.net	40.000	20.000	6.6.6.6	answer	0	0
4	u48775.example.net	50.000	30.000	6.6.6.6	answer	0	0
5	u58775.example.net	40.000	10.000	6.6.6.6	answer	0	0
6	u68775.example.net	50.000	10.000	6.6.6.6	answer	0	0
7	u78775.example.net	30.000	30.000	6.6.6.6	answer	0	0
8	u88775.example.net	30.000	30.000	6.6.6.6	answer	0	0
9	u98775.example.net	50.000	20.000	6.6.6.6	answer	0	0
10	u108775.example.net	50.000	10.000	6.6.6.6	answer	0	0
11	u118775.example.net	30.000	30.000	6.6.6.6	answer	0	0
12	u128775.example.net	30.000	20.000	6.6.6.6	answer	0	0
13	u138775.example.net	30.000	20.000	6.6.6.6	answer	0	0
14	u148775.example.net	50.000	20.000	6.6.6.6	answer	0	0
15	u158775.example.net	50.000	20.000	6.6.6.6	answer	0	0
16	u168775.example.net	40.000	10.000	6.6.6.6	answer	0	0
17	u178775.example.net	50.000	10.000	6.6.6.6	answer	0	0
18	u188775.example.net	40.000	20.000	6.6.6.6	answer	0	0
19	u198775.example.net	50.000	30.000	6.6.6.6	answer	0	0
20	u208775.example.net	60.000	20.000	6.6.6.6	answer	0	0
21	u218775.example.net	40.000	10.000	6.6.6.6	answer	0	0
22	u228775.example.net	30.000	20.000	6.6.6.6	answer	0	0
23	u238775.example.net	50.000	30.000	6.6.6.6	answer	0	0
24	u248775.example.net	50.000	20.000	6.6.6.6	answer	0	0
25	u258775.example.net	50.000	30.000	6.6.6.6	answer	0	0
26	u268775.example.net	40.000	20.000	6.6.6.6	answer	0	0
27	u278775.example.net	60.000	10.000	6.6.6.6	answer	0	0
28	u288775.example.net	30.000	20.000	6.6.6.6	answer	0	0
29	u298775.example.net	30.000	10.000	6.6.6.6	answer	0	0
30	u308775.example.net	30.000	20.000	6.6.6.6	answer	0	0
31	u318775.example.net	60.000	30.000	6.6.6.6	answer	0	0
32	u328775.example.net	40.000	20.000	6.6.6.6	answer	0	0
33	u338775.example.net	50.000	30.000	6.6.6.6	answer	0	0
34	u348775.example.net	50.000	10.000	6.6.6.6	answer	0	0
35	u358775.example.net	30.000	20.000	6.6.6.6	answer	0	0
36	u368775.example.net	50.000	10.000	6.6.6.6	answer	0	0
37	u378775.example.net	60.000	30.000	6.6.6.6	answer	0	0
38	u388775.example.net	50.000	10.000	6.6.6.6	answer	0	0
39	u398775.example.net	30.000	20.000	6.6.6.6	answer	0	0
40	u408775.example.net	40.000	30.000	6.6.6.6	answer	0	0
41	u418775.example.net	30.000	30.000	6.6.6.6	answer	0	0
42	u428775.example.net	30.000	20.000	6.6.6.6	answer	0	0
43	u438775.example.net	30.000	20.000	6.6.6.6	answer	0	0
44	u448775.example.net	50.000	10.000	6.6.6.6	answer	0	0
45	u458775.example.net	50.000	20.000	6.6.6.6	answer	0	0
46	u468775.example.net	30.000	20.000	6.6.6.6	answer	0	0
47	u478775.example.net	50.000	30.000	6.6.6.6	answer	0	0
48	u488775.example.net	30.000	20.000	6.6.6.6	answer	0	0
49	u498776.example.net	50.000	20.000	6.6.6.6	answer	0	0
50	u508776.example.net	40.000	20.000	6.6.6.6	answer	0	0
