split,profile,condition,role,level,pair_id,schedule_seed,query_seed,payload_seed,arrival_schedule_sha256,query_schedule_sha256,decisions,fragments_total,benign_fragments_total,attack_fragments_total,measurement_start_seconds,measurement_end_seconds,samples_mean,samples_p95,entropy_mean,unique_ratio_mean,blocks_legacy,blocks_combined,blocks_volume,blocks_entropy,blocks_unique,rate_legacy,rate_combined,rate_volume,rate_entropy,rate_unique,raw_file,raw_sha256
calibration,bursty,benign_bursty,benign,60,0,7535764254784489874,14887011713379673532,2602227253724334827,069e9656593fe62b708ce15594e414f7948041d95861d0016ea2f39a4f261ec4,fe7c675c07d1fddc7bded25aaca34d4e0525894b1b1303efb7b7fed715439993,30,439,439,0,6.240286966221824,13.490286966221824,61.93333333333333,94.94999999999997,5.871326678652645,0.9966203692161582,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_60/pair_00.jsonl.gz,812e83d1068316b9eeefb655f198adc5b73cb60e504f9bcf1f4a5e0a508c6554
calibration,bursty,benign_bursty,benign,60,1,1706549331713346407,3171094352845093217,7010532829369177798,bd39501a255f913b627a0de6d67158cc036f3d1e90a03716aa4cfbb83268eea2,136f4d2df23aa19a6b8b176f0118c1c980ec745953e231c6fa85ebc5e17654e0,30,385,385,0,6.11573750584573,13.365737505845729,55.46666666666667,87.64999999999999,5.658748316777991,0.9745436776894572,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_60/pair_01.jsonl.gz,e38270410560867626162a109c9912d7be046ebbd35d89aeb4bd596155524926
calibration,bursty,benign_bursty,benign,60,2,2326140318554644062,7512008502173857762,6494324689754188029,147773b9e1d19c5f860c19342dec55cb2780a586f78d1d3721a12b03e665d591,dbe8014e47f3787e188cebeb10eb24ead138158ac11894794d3cdfe0d3b0fcc1,30,422,422,0,6.236762249017241,13.486762249017241,55.166666666666664,74.55,5.693429711381127,0.9842560979288354,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_60/pair_02.jsonl.gz,ca2c2159d47875c121934a4cb2f769b20005a227a6f80b2aa62009c3ef0a9f0f
calibration,bursty,benign_bursty,benign,60,3,14680328403015510371,2248628749486901378,17890813458572576362,21f65332207701622d5b6f5715f32bb28f9ef57745c5fcbb19d594dbef548ad7,4f1dccc386a5d0799ac2ea685716f7725a227cf4db1f8eef6670863057403470,30,389,389,0,6.21724112963443,13.46724112963443,58.56666666666667,84.0,5.776876037961046,0.9864058712028306,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_60/pair_03.jsonl.gz,1626c9a456797155f46e13bee191aef54dc25e01498cc51590c015e9071dd987
calibration,bursty,benign_bursty,benign,60,4,14151046593390010019,11209203794009926152,12379628670623062490,101c85d7c6227892a544d73c1061887076eb32796767b7c7fe8045ae0234a28a,9cb1a7cf841bf25a4a07a911867a00eb43d0897fd0bf966fc8195f631f8ae9ea,30,357,357,0,6.122495085156401,13.372495085156402,56.333333333333336,80.55,5.724044887690022,0.986568108195515,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_60/pair_04.jsonl.gz,62a2600c799cc3a7e9378a003df79a951f959b4a73ce22aefc56f5efa233943b
calibration,bursty,benign_bursty,benign,60,5,5736120164779405681,3194201755490833985,7310711613832847781,503b5d1a36787dd7f8c67a61c9d7aba5ad0dda4c2c5bbde2c58b3a858148780e,d2f505b3ce244be17e3ee268da99384e81d2fb5b2d26fa4569eaad741ac1c2d7,30,404,404,0,6.0926729465613665,13.342672946561366,54.333333333333336,80.0,5.662959663563068,0.9839534879403564,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_60/pair_05.jsonl.gz,f457639fd873fd0683b9a67b70b16e8986367a0d944dd41d6c2d070635ab5e46
calibration,bursty,benign_bursty,benign,60,6,7575105235210998895,16638563698675333250,12099497734899173917,1d0c86f5ac2424332a3b6d7bf8e5e696f6767c110be1efa1c066a82615b79f56,a0946f82a816f84db1675e206c9307b3985e7d0873a71fd1ded9db43270f15bb,30,374,374,0,6.175257633208113,13.425257633208112,62.666666666666664,84.0,5.893208934767189,0.9861341126394756,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_60/pair_06.jsonl.gz,1ce3ba90027a214215e45d892e718cbe32d1114eb82d0fc6068c6e34f0011741
calibration,bursty,benign_bursty,benign,60,7,6637924036122564093,10157635117886852221,11038292206737271862,52ed45b63af6951c62c69ed65cf2c8caaf02a1d0bdb15dd6e5e73aa150c93fe0,b718911aefdbf24d4590761a3424b9b77104e863614afbbcd44ed32088c475ff,30,420,420,0,6.027981622927506,13.277981622927506,54.43333333333333,79.1,5.667097753144517,0.9851954312778732,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_60/pair_07.jsonl.gz,fd40ac82baabc30492ce3d2294aa6d26a3e8527ce3aa6bdfd15bc4d8c2e7e889
calibration,bursty,benign_bursty,benign,60,8,15540176733095735041,6110061519852723130,9697420305545389646,b5af44a56b5909260634450f5beeb0143d1a127041ab377c7b678d962bea1098,aef59e2fb1e34ee8d4a5326317c057e5b2520177e15f689996110fa8cbdfdbf9,30,393,393,0,6.039930448862844,13.289930448862844,60.03333333333333,94.64999999999999,5.797914632329542,0.9908755136623137,30,29,29,30,30,1.0,0.9666666666666667,0.9666666666666667,1.0,1.0,raw_runs/calibration/benign_bursty/level_60/pair_08.jsonl.gz,f13e3a688aec04d99055bb9002651c548b70d1cc4a142678aa1905f88592bb13
calibration,bursty,benign_bursty,benign,60,9,8525633833741690363,7220218538478724129,16330190558349328110,7dbbc40f2fb10ddd8a4ffefdb38dd7979d8a682c76f7d7799e8ebf02273a64ca,2917a38ef3c61cda24765f5c615588bd5df479b1831ffa1b39bf1391b88e22cb,30,432,432,0,6.063366673335704,13.313366673335704,64.16666666666667,99.0,5.904652865458582,0.9890990399484658,30,30,30,30,30,1.0,1.0,1.0,1.0,1.0,raw_runs/calibration/benign_bursty/level_60/pair_09.jsonl.gz,3b1ed3e77b6d3d7a98669ed6b40d8321af74526c3f12d932313d160fea9cd20e
