condition,level,variant,metric,rate_mean,ci_lo,ci_hi
attack_bursty,120,volume,TPR,1.0000,1.0000,1.0000
attack_bursty,120,entropy,TPR,1.0000,1.0000,1.0000
attack_bursty,120,unique,TPR,1.0000,1.0000,1.0000
attack_bursty,200,legacy,TPR,1.0000,1.0000,1.0000
attack_bursty,200,combined,TPR,1.0000,1.0000,1.0000
attack_bursty,200,volume,TPR,1.0000,1.0000,1.0000
attack_bursty,200,entropy,TPR,1.0000,1.0000,1.0000
attack_bursty,200,unique,TPR,1.0000,1.0000,1.0000
attack_dup_sweep,24,legacy,TPR,1.0000,1.0000,1.0000
attack_dup_sweep,24,combined,TPR,0.0000,0.0000,0.0000
attack_dup_sweep,24,volume,TPR,0.5937,0.5248,0.6625
attack_dup_sweep,24,entropy,TPR,0.1873,0.1334,0.2413
attack_dup_sweep,24,unique,TPR,0.0007,-0.0007,0.0021
attack_dup_sweep,60,legacy,TPR,1.0000,1.0000,1.0000
attack_dup_sweep,60,combined,TPR,0.0000,0.0000,0.0000
attack_dup_sweep,60,volume,TPR,1.0000,1.0000,1.0000
attack_dup_sweep,60,entropy,TPR,1.0000,1.0000,1.0000
attack_dup_sweep,60,unique,TPR,0.0000,0.0000,0.0000
attack_dup_sweep,120,legacy,TPR,1.0000,1.0000,1.0000
attack_dup_sweep,120,combined,TPR,0.0000,0.0000,0.0000
attack_dup_sweep,120,volume,TPR,1.0000,1.0000,1.0000
attack_dup_sweep,120,entropy,TPR,1.0000,1.0000,1.0000
attack_dup_sweep,120,unique,TPR,0.0000,0.0000,0.0000
attack_dup_sweep,200,legacy,TPR,1.0000,1.0000,1.0000
attack_dup_sweep,200,combined,TPR,0.0000,0.0000,0.0000
attack_dup_sweep,200,volume,TPR,1.0000,1.0000,1.0000
attack_dup_sweep,200,entropy,TPR,1.0000,1.0000,1.0000
attack_dup_sweep,200,unique,TPR,0.0000,0.0000,0.0000
