round	qname	trigger_ms	bank_ms	bank_ip	trigger_status	trigger_rc	bank_rc
1	u18877.example.net	110.000	320.000	203.0.113.80	answer	0	0
2	u28877.example.net	30.000	10.000	203.0.113.80	answer	0	0
3	u38877.example.net	40.000	20.000	203.0.113.80	answer	0	0
4	u48877.example.net	30.000	20.000	203.0.113.80	answer	0	0
5	u58877.example.net	30.000	20.000	203.0.113.80	answer	0	0
6	u68877.example.net	30.000	10.000	203.0.113.80	answer	0	0
7	u78877.example.net	40.000	10.000	203.0.113.80	answer	0	0
8	u88877.example.net	40.000	20.000	203.0.113.80	answer	0	0
9	u98877.example.net	40.000	20.000	203.0.113.80	answer	0	0
10	u108878.example.net	40.000	30.000	203.0.113.80	answer	0	0
11	u118878.example.net	40.000	20.000	203.0.113.80	answer	0	0
12	u128878.example.net	50.000	20.000	203.0.113.80	answer	0	0
13	u138878.example.net	50.000	10.000	203.0.113.80	answer	0	0
14	u148878.example.net	50.000	20.000	203.0.113.80	answer	0	0
15	u158878.example.net	40.000	30.000	203.0.113.80	answer	0	0
16	u168878.example.net	30.000	20.000	203.0.113.80	answer	0	0
17	u178878.example.net	50.000	20.000	203.0.113.80	answer	0	0
18	u188878.example.net	50.000	20.000	203.0.113.80	answer	0	0
19	u198878.example.net	40.000	20.000	203.0.113.80	answer	0	0
20	u208878.example.net	50.000	10.000	203.0.113.80	answer	0	0
21	u218878.example.net	40.000	30.000	203.0.113.80	answer	0	0
22	u228878.example.net	40.000	30.000	203.0.113.80	answer	0	0
23	u238878.example.net	70.000	10.000	203.0.113.80	answer	0	0
24	u248878.example.net	40.000	20.000	203.0.113.80	answer	0	0
25	u258878.example.net	40.000	30.000	203.0.113.80	answer	0	0
26	u268878.example.net	30.000	20.000	203.0.113.80	answer	0	0
27	u278878.example.net	30.000	20.000	203.0.113.80	answer	0	0
28	u288878.example.net	30.000	20.000	203.0.113.80	answer	0	0
29	u298878.example.net	40.000	10.000	203.0.113.80	answer	0	0
30	u308878.example.net	40.000	10.000	203.0.113.80	answer	0	0
31	u318878.example.net	40.000	20.000	203.0.113.80	answer	0	0
32	u328878.example.net	50.000	20.000	203.0.113.80	answer	0	0
33	u338878.example.net	50.000	20.000	203.0.113.80	answer	0	0
34	u348878.example.net	60.000	10.000	203.0.113.80	answer	0	0
35	u358878.example.net	40.000	20.000	203.0.113.80	answer	0	0
36	u368878.example.net	60.000	30.000	203.0.113.80	answer	0	0
37	u378878.example.net	50.000	20.000	203.0.113.80	answer	0	0
38	u388878.example.net	50.000	20.000	203.0.113.80	answer	0	0
39	u398878.example.net	50.000	20.000	203.0.113.80	answer	0	0
40	u408878.example.net	50.000	20.000	203.0.113.80	answer	0	0
41	u418878.example.net	60.000	20.000	203.0.113.80	answer	0	0
42	u428878.example.net	40.000	20.000	203.0.113.80	answer	0	0
43	u438878.example.net	40.000	20.000	203.0.113.80	answer	0	0
44	u448878.example.net	50.000	10.000	203.0.113.80	answer	0	0
45	u458878.example.net	50.000	20.000	203.0.113.80	answer	0	0
46	u468878.example.net	40.000	30.000	203.0.113.80	answer	0	0
47	u478878.example.net	40.000	20.000	203.0.113.80	answer	0	0
48	u488878.example.net	30.000	20.000	203.0.113.80	answer	0	0
49	u498878.example.net	40.000	20.000	203.0.113.80	answer	0	0
50	u508878.example.net	40.000	20.000	203.0.113.80	answer	0	0
