round	qname	trigger_ms	bank_ms	bank_ip	trigger_status	trigger_rc	bank_rc
1	u18726.example.net	140.000	140.000	6.6.6.6	answer	0	0
2	u28726.example.net	40.000	20.000	6.6.6.6	answer	0	0
3	u38726.example.net	40.000	20.000	6.6.6.6	answer	0	0
4	u48726.example.net	40.000	20.000	6.6.6.6	answer	0	0
5	u58726.example.net	40.000	20.000	6.6.6.6	answer	0	0
6	u68726.example.net	50.000	10.000	6.6.6.6	answer	0	0
7	u78726.example.net	50.000	10.000	6.6.6.6	answer	0	0
8	u88726.example.net	40.000	10.000	6.6.6.6	answer	0	0
9	u98726.example.net	50.000	20.000	6.6.6.6	answer	0	0
10	u108726.example.net	50.000	20.000	6.6.6.6	answer	0	0
11	u118726.example.net	50.000	20.000	6.6.6.6	answer	0	0
12	u128726.example.net	50.000	30.000	6.6.6.6	answer	0	0
13	u138726.example.net	50.000	20.000	6.6.6.6	answer	0	0
14	u148726.example.net	40.000	30.000	6.6.6.6	answer	0	0
15	u158726.example.net	50.000	20.000	6.6.6.6	answer	0	0
16	u168726.example.net	50.000	20.000	6.6.6.6	answer	0	0
17	u178726.example.net	30.000	30.000	6.6.6.6	answer	0	0
18	u188726.example.net	50.000	30.000	6.6.6.6	answer	0	0
19	u198726.example.net	40.000	20.000	6.6.6.6	answer	0	0
20	u208726.example.net	50.000	30.000	6.6.6.6	answer	0	0
21	u218726.example.net	40.000	20.000	6.6.6.6	answer	0	0
22	u228726.example.net	50.000	20.000	6.6.6.6	answer	0	0
23	u238726.example.net	50.000	20.000	6.6.6.6	answer	0	0
24	u248726.example.net	40.000	20.000	6.6.6.6	answer	0	0
25	u258726.example.net	40.000	10.000	6.6.6.6	answer	0	0
26	u268726.example.net	60.000	10.000	6.6.6.6	answer	0	0
27	u278726.example.net	50.000	10.000	6.6.6.6	answer	0	0
28	u288726.example.net	40.000	20.000	6.6.6.6	answer	0	0
29	u298726.example.net	50.000	20.000	6.6.6.6	answer	0	0
30	u308726.example.net	50.000	20.000	6.6.6.6	answer	0	0
31	u318726.example.net	60.000	30.000	6.6.6.6	answer	0	0
32	u328726.example.net	30.000	30.000	6.6.6.6	answer	0	0
33	u338726.example.net	50.000	30.000	6.6.6.6	answer	0	0
34	u348726.example.net	50.000	20.000	6.6.6.6	answer	0	0
35	u358726.example.net	50.000	10.000	6.6.6.6	answer	0	0
36	u368726.example.net	60.000	20.000	6.6.6.6	answer	0	0
37	u378726.example.net	50.000	10.000	6.6.6.6	answer	0	0
38	u388726.example.net	30.000	20.000	6.6.6.6	answer	0	0
39	u398726.example.net	40.000	30.000	6.6.6.6	answer	0	0
40	u408726.example.net	50.000	10.000	6.6.6.6	answer	0	0
41	u418726.example.net	40.000	30.000	6.6.6.6	answer	0	0
42	u428726.example.net	40.000	30.000	6.6.6.6	answer	0	0
43	u438726.example.net	60.000	20.000	6.6.6.6	answer	0	0
44	u448726.example.net	50.000	20.000	6.6.6.6	answer	0	0
45	u458726.example.net	40.000	20.000	6.6.6.6	answer	0	0
46	u468726.example.net	40.000	30.000	6.6.6.6	answer	0	0
47	u478726.example.net	30.000	20.000	6.6.6.6	answer	0	0
48	u488726.example.net	50.000	10.000	6.6.6.6	answer	0	0
49	u498726.example.net	50.000	30.000	6.6.6.6	answer	0	0
50	u508726.example.net	30.000	10.000	6.6.6.6	answer	0	0
