metric,comparison,mean,ci_low,ci_high,cells,pairs_per_cell
B2_FNR,2048,0.12291666666666667,0.11597222222222223,0.13097569444444437,8,6
B2_FNR,65536,0.12291666666666667,0.11597222222222223,0.13097569444444437,8,6
B2_FNR,65536_minus_2048,0.0,0.0,0.0,8,6
B2_J,2048,0.0,0.0,0.0,8,6
B2_J,65536,0.0,0.0,0.0,8,6
B2_J,65536_minus_2048,0.0,0.0,0.0,8,6
B2_attack_alert,2048,0.8770833333333333,0.8688854166666666,0.8838888888888888,8,6
B2_attack_alert,65536,0.8770833333333333,0.8688854166666666,0.8838888888888888,8,6
B2_attack_alert,65536_minus_2048,0.0,0.0,0.0,8,6
B2_benign_trigger,2048,0.8770833333333333,0.8688854166666666,0.8838888888888888,8,6
B2_benign_trigger,65536,0.8770833333333333,0.8688854166666666,0.8838888888888888,8,6
B2_benign_trigger,65536_minus_2048,0.0,0.0,0.0,8,6
B5_initial_FNR,2048,0.12291666666666667,0.11611111111111111,0.1309722222222222,8,6
B5_initial_FNR,65536,0.12291666666666667,0.11611111111111111,0.1309722222222222,8,6
B5_initial_FNR,65536_minus_2048,0.0,0.0,0.0,8,6
B5_initial_J,2048,0.0,0.0,0.0,8,6
B5_initial_J,65536,0.0,0.0,0.0,8,6
B5_initial_J,65536_minus_2048,0.0,0.0,0.0,8,6
B5_initial_attack_alert,2048,0.8770833333333333,0.8688888888888888,0.883888888888889,8,6
B5_initial_attack_alert,65536,0.8770833333333333,0.8688888888888888,0.883888888888889,8,6
B5_initial_attack_alert,65536_minus_2048,0.0,0.0,0.0,8,6
B5_initial_benign_trigger,2048,0.8770833333333333,0.8690277777777777,0.8840277777777777,8,6
B5_initial_benign_trigger,65536,0.8770833333333333,0.8690277777777777,0.8840277777777777,8,6
B5_initial_benign_trigger,65536_minus_2048,0.0,0.0,0.0,8,6
B5_locked_FNR,2048,0.4088888888888889,0.3995833333333333,0.41680555555555554,8,6
B5_locked_FNR,65536,0.4058333333333333,0.39652777777777776,0.41375347222222225,8,6
B5_locked_FNR,65536_minus_2048,-0.003055555555555589,-0.004722222222222296,-0.0015277777777777946,8,6
B5_locked_J,2048,0.009722222222222222,0.007222222222222221,0.012777777777777773,8,6
B5_locked_J,65536,0.0005555555555555539,-0.00013888888888888862,0.001249999999999999,8,6
B5_locked_J,65536_minus_2048,-0.009166666666666668,-0.012083333333333333,-0.006666666666666665,8,6
B5_locked_attack_alert,2048,0.5911111111111111,0.5833333333333334,0.6002777777777778,8,6
B5_locked_attack_alert,65536,0.5941666666666667,0.586111111111111,0.6033368055555555,8,6
B5_locked_attack_alert,65536_minus_2048,0.003055555555555589,0.0015277777777777946,0.004722222222222294,8,6
B5_locked_benign_trigger,2048,0.5813888888888888,0.5715277777777777,0.5920833333333333,8,6
B5_locked_benign_trigger,65536,0.5936111111111111,0.5851388888888889,0.6031944444444444,8,6
B5_locked_benign_trigger,65536_minus_2048,0.012222222222222245,0.01027777777777783,0.014444444444444482,8,6
entropy_AP,2048,0.5779841757635156,0.5735607285016578,0.5825875305992602,8,6
entropy_AP,65536,0.5041207291621992,0.502958486985856,0.505372779247945,8,6
entropy_AP,65536_minus_2048,-0.07386344660131638,-0.07858995544516126,-0.06958712831667806,8,6
unique_ratio_AP,2048,0.7511888112245603,0.7418737812131951,0.7605693857838631,8,6
unique_ratio_AP,65536,0.5196419067004403,0.5153301210439278,0.5240041060424743,8,6
unique_ratio_AP,65536_minus_2048,-0.23154690452411997,-0.24046032313191454,-0.2224164890093811,8,6
