e3_split,source_e2_split,profile,level,condition,role,paired_traces,decision_rows,samples_min,samples_median,samples_mean,samples_p95,samples_max,fraction_samples_ge_64,fraction_entropy_ge_6,fraction_unique_ratio_ge_0_90,fraction_locked_trigger
validation,validation,bursty,200,attack_sweep_bursty,attack,2,300,103.0,204.5,202.97666666666666,291.05,304.0,1.0,1.0,1.0,1.0
validation,validation,bursty,200,benign_bursty,benign,2,300,103.0,204.5,202.97666666666666,291.05,304.0,1.0,1.0,1.0,1.0
validation,validation,bursty,24,attack_sweep_bursty,attack,2,300,8.0,23.0,24.05666666666667,38.05000000000001,43.0,0.0,0.0,1.0,0.0
validation,validation,bursty,24,benign_bursty,benign,2,300,8.0,23.0,24.05666666666667,38.05000000000001,43.0,0.0,0.0,1.0,0.0
validation,validation,bursty,60,attack_sweep_bursty,attack,2,300,25.0,58.0,58.47,86.05000000000001,95.0,0.42333333333333334,0.42,1.0,0.42
validation,validation,bursty,60,benign_bursty,benign,2,300,25.0,58.0,58.47,86.05000000000001,95.0,0.42333333333333334,0.3933333333333333,1.0,0.3933333333333333
validation,validation,continuous,120,attack_dup_sweep_continuous,attack,2,300,98.0,122.0,121.29333333333334,138.0,147.0,1.0,0.6133333333333333,0.0,0.0
validation,validation,continuous,120,attack_fixed_continuous,attack,2,300,98.0,122.0,121.29333333333334,138.0,147.0,1.0,0.0,0.0,0.0
validation,validation,continuous,120,attack_random_continuous,attack,2,300,98.0,122.0,121.29333333333334,138.0,147.0,1.0,1.0,1.0,1.0
validation,validation,continuous,120,attack_sweep_continuous,attack,2,300,98.0,122.0,121.29333333333334,138.0,147.0,1.0,1.0,1.0,1.0
validation,validation,continuous,120,benign_continuous,benign,2,300,98.0,122.0,121.29333333333334,138.0,147.0,1.0,1.0,1.0,1.0
validation,validation,continuous,200,attack_dup_sweep_continuous,attack,2,300,169.0,198.0,198.26,222.0,234.0,1.0,1.0,0.0,0.0
validation,validation,continuous,200,attack_fixed_continuous,attack,2,300,169.0,198.0,198.26,222.0,234.0,1.0,0.0,0.0,0.0
validation,validation,continuous,200,attack_random_continuous,attack,2,300,169.0,198.0,198.26,222.0,234.0,1.0,1.0,1.0,1.0
validation,validation,continuous,200,attack_sweep_continuous,attack,2,300,169.0,198.0,198.26,222.0,234.0,1.0,1.0,1.0,1.0
validation,validation,continuous,200,benign_continuous,benign,2,300,169.0,198.0,198.26,222.0,234.0,1.0,1.0,1.0,1.0
validation,validation,continuous,24,attack_dup_sweep_continuous,attack,2,300,12.0,23.0,23.286666666666665,31.0,35.0,0.0,0.0,0.0,0.0
validation,validation,continuous,24,attack_fixed_continuous,attack,2,300,12.0,23.0,23.286666666666665,31.0,35.0,0.0,0.0,0.0,0.0
validation,validation,continuous,24,attack_random_continuous,attack,2,300,12.0,23.0,23.286666666666665,31.0,35.0,0.0,0.0,1.0,0.0
validation,validation,continuous,24,attack_sweep_continuous,attack,2,300,12.0,23.0,23.286666666666665,31.0,35.0,0.0,0.0,1.0,0.0
validation,validation,continuous,24,benign_continuous,benign,2,300,12.0,23.0,23.286666666666665,31.0,35.0,0.0,0.0,1.0,0.0
validation,validation,continuous,60,attack_dup_sweep_continuous,attack,2,300,45.0,59.0,59.24,70.0,84.0,0.25,0.0,0.0,0.0
validation,validation,continuous,60,attack_fixed_continuous,attack,2,300,45.0,59.0,59.24,70.0,84.0,0.25,0.0,0.0,0.0
validation,validation,continuous,60,attack_random_continuous,attack,2,300,45.0,59.0,59.24,70.0,84.0,0.25,0.15666666666666668,1.0,0.15666666666666668
validation,validation,continuous,60,attack_sweep_continuous,attack,2,300,45.0,59.0,59.24,70.0,84.0,0.25,0.24666666666666667,1.0,0.24666666666666667
validation,validation,continuous,60,benign_continuous,benign,2,300,45.0,59.0,59.24,70.0,84.0,0.25,0.17666666666666667,1.0,0.17666666666666667
held_out_test,calibration,bursty,120,benign_bursty,benign,2,300,56.0,121.0,123.24,178.0,191.0,0.9933333333333333,0.9866666666666667,1.0,0.9866666666666667
held_out_test,calibration,bursty,200,benign_bursty,benign,2,300,105.0,199.5,200.98666666666668,288.0,306.0,1.0,1.0,1.0,1.0
held_out_test,calibration,bursty,24,benign_bursty,benign,2,300,7.0,23.0,23.856666666666666,38.0,43.0,0.0,0.0,1.0,0.0
held_out_test,calibration,bursty,60,benign_bursty,benign,2,300,23.0,58.0,59.45,92.0,99.0,0.44666666666666666,0.42333333333333334,1.0,0.42333333333333334
held_out_test,calibration,continuous,120,benign_continuous,benign,2,300,96.0,122.0,122.21333333333334,139.05,148.0,1.0,1.0,1.0,1.0
held_out_test,calibration,continuous,200,benign_continuous,benign,2,300,161.0,199.0,198.92333333333335,219.0,233.0,1.0,1.0,1.0,1.0
held_out_test,calibration,continuous,24,benign_continuous,benign,2,300,12.0,24.0,24.76,35.0,39.0,0.0,0.0,1.0,0.0
held_out_test,calibration,continuous,60,benign_continuous,benign,2,300,37.0,61.0,61.24666666666667,73.0,83.0,0.4066666666666667,0.34,1.0,0.34
held_out_test,test,bursty,120,attack_sweep_bursty,attack,4,600,57.0,124.5,122.52833333333334,176.04999999999995,192.0,0.9833333333333333,0.9816666666666667,1.0,0.9816666666666667
held_out_test,test,bursty,120,benign_bursty,benign,4,600,57.0,124.5,122.52833333333334,176.04999999999995,192.0,0.9833333333333333,0.9766666666666667,1.0,0.9766666666666667
held_out_test,test,bursty,200,attack_sweep_bursty,attack,4,600,96.0,199.5,200.56666666666666,286.0,318.0,1.0,1.0,1.0,1.0
held_out_test,test,bursty,200,benign_bursty,benign,4,600,96.0,199.5,200.56666666666666,286.0,318.0,1.0,1.0,1.0,1.0
held_out_test,test,bursty,24,attack_sweep_bursty,attack,4,600,7.0,23.0,23.923333333333332,39.0,51.0,0.0,0.0,1.0,0.0
held_out_test,test,bursty,24,benign_bursty,benign,4,600,7.0,23.0,23.923333333333332,39.0,51.0,0.0,0.0,1.0,0.0
held_out_test,test,bursty,60,attack_sweep_bursty,attack,4,600,27.0,60.0,60.04833333333333,88.0,98.0,0.44166666666666665,0.44,1.0,0.44
held_out_test,test,bursty,60,benign_bursty,benign,4,600,27.0,60.0,60.04833333333333,88.0,98.0,0.44166666666666665,0.41333333333333333,1.0,0.41333333333333333
held_out_test,test,continuous,120,attack_dup_sweep_continuous,attack,4,600,81.0,119.0,118.815,136.0,147.0,1.0,0.4816666666666667,0.0,0.0
held_out_test,test,continuous,120,attack_fixed_continuous,attack,4,600,81.0,119.0,118.815,136.0,147.0,1.0,0.0,0.0,0.0
held_out_test,test,continuous,120,attack_random_continuous,attack,4,600,81.0,119.0,118.815,136.0,147.0,1.0,1.0,1.0,1.0
held_out_test,test,continuous,120,attack_sweep_continuous,attack,4,600,81.0,119.0,118.815,136.0,147.0,1.0,1.0,1.0,1.0
held_out_test,test,continuous,120,benign_continuous,benign,4,600,81.0,119.0,118.815,136.0,147.0,1.0,1.0,1.0,1.0
held_out_test,test,continuous,200,attack_dup_sweep_continuous,attack,4,600,165.0,200.0,200.69666666666666,227.0,244.0,1.0,1.0,0.0,0.0
held_out_test,test,continuous,200,attack_fixed_continuous,attack,4,600,165.0,200.0,200.69666666666666,227.0,244.0,1.0,0.0,0.0,0.0
held_out_test,test,continuous,200,attack_random_continuous,attack,4,600,165.0,200.0,200.69666666666666,227.0,244.0,1.0,1.0,1.0,1.0
held_out_test,test,continuous,200,attack_sweep_continuous,attack,4,600,165.0,200.0,200.69666666666666,227.0,244.0,1.0,1.0,1.0,1.0
held_out_test,test,continuous,200,benign_continuous,benign,4,600,165.0,200.0,200.69666666666666,227.0,244.0,1.0,1.0,0.9983333333333333,0.9983333333333333
held_out_test,test,continuous,24,attack_dup_sweep_continuous,attack,4,600,9.0,24.0,24.158333333333335,34.0,42.0,0.0,0.0,0.0,0.0
held_out_test,test,continuous,24,attack_fixed_continuous,attack,4,600,9.0,24.0,24.158333333333335,34.0,42.0,0.0,0.0,0.0,0.0
held_out_test,test,continuous,24,attack_random_continuous,attack,4,600,9.0,24.0,24.158333333333335,34.0,42.0,0.0,0.0,1.0,0.0
held_out_test,test,continuous,24,attack_sweep_continuous,attack,4,600,9.0,24.0,24.158333333333335,34.0,42.0,0.0,0.0,1.0,0.0
held_out_test,test,continuous,24,benign_continuous,benign,4,600,9.0,24.0,24.158333333333335,34.0,42.0,0.0,0.0,1.0,0.0
held_out_test,test,continuous,60,attack_dup_sweep_continuous,attack,4,600,39.0,60.0,59.99,72.0,78.0,0.3233333333333333,0.0,0.0,0.0
held_out_test,test,continuous,60,attack_fixed_continuous,attack,4,600,39.0,60.0,59.99,72.0,78.0,0.3233333333333333,0.0,0.0,0.0
held_out_test,test,continuous,60,attack_random_continuous,attack,4,600,39.0,60.0,59.99,72.0,78.0,0.3233333333333333,0.25,1.0,0.25
held_out_test,test,continuous,60,attack_sweep_continuous,attack,4,600,39.0,60.0,59.99,72.0,78.0,0.3233333333333333,0.30666666666666664,1.0,0.30666666666666664
held_out_test,test,continuous,60,benign_continuous,benign,4,600,39.0,60.0,59.99,72.0,78.0,0.3233333333333333,0.25166666666666665,1.0,0.25166666666666665
held_out_test,validation,bursty,120,attack_sweep_bursty,attack,2,300,56.0,122.5,120.83,175.05,196.0,0.98,0.98,1.0,0.98
held_out_test,validation,bursty,120,benign_bursty,benign,2,300,56.0,122.5,120.83,175.05,196.0,0.98,0.97,1.0,0.97
held_out_test,validation,bursty,200,attack_sweep_bursty,attack,2,300,99.0,196.0,198.10333333333332,284.05,294.0,1.0,1.0,1.0,1.0
held_out_test,validation,bursty,200,benign_bursty,benign,2,300,99.0,196.0,198.10333333333332,284.05,294.0,1.0,1.0,0.9833333333333333,0.9833333333333333
held_out_test,validation,bursty,24,attack_sweep_bursty,attack,2,300,7.0,22.0,22.653333333333332,35.05000000000001,40.0,0.0,0.0,1.0,0.0
held_out_test,validation,bursty,24,benign_bursty,benign,2,300,7.0,22.0,22.653333333333332,35.05000000000001,40.0,0.0,0.0,1.0,0.0
held_out_test,validation,bursty,60,attack_sweep_bursty,attack,2,300,21.0,57.5,59.223333333333336,89.0,104.0,0.4166666666666667,0.4166666666666667,1.0,0.4166666666666667
held_out_test,validation,bursty,60,benign_bursty,benign,2,300,21.0,57.5,59.223333333333336,89.0,104.0,0.4166666666666667,0.3933333333333333,1.0,0.3933333333333333
held_out_test,validation,continuous,120,attack_dup_sweep_continuous,attack,2,300,91.0,120.0,120.02333333333333,137.05,148.0,1.0,0.5366666666666666,0.0,0.0
held_out_test,validation,continuous,120,attack_fixed_continuous,attack,2,300,91.0,120.0,120.02333333333333,137.05,148.0,1.0,0.0,0.0,0.0
held_out_test,validation,continuous,120,attack_random_continuous,attack,2,300,91.0,120.0,120.02333333333333,137.05,148.0,1.0,1.0,1.0,1.0
held_out_test,validation,continuous,120,attack_sweep_continuous,attack,2,300,91.0,120.0,120.02333333333333,137.05,148.0,1.0,1.0,1.0,1.0
held_out_test,validation,continuous,120,benign_continuous,benign,2,300,91.0,120.0,120.02333333333333,137.05,148.0,1.0,1.0,1.0,1.0
held_out_test,validation,continuous,200,attack_dup_sweep_continuous,attack,2,300,166.0,203.0,202.39666666666668,224.0,237.0,1.0,1.0,0.0,0.0
held_out_test,validation,continuous,200,attack_fixed_continuous,attack,2,300,166.0,203.0,202.39666666666668,224.0,237.0,1.0,0.0,0.0,0.0
held_out_test,validation,continuous,200,attack_random_continuous,attack,2,300,166.0,203.0,202.39666666666668,224.0,237.0,1.0,1.0,1.0,1.0
held_out_test,validation,continuous,200,attack_sweep_continuous,attack,2,300,166.0,203.0,202.39666666666668,224.0,237.0,1.0,1.0,1.0,1.0
