round	qname	trigger_ms	bank_ms	bank_ip	trigger_status	trigger_rc	bank_rc
1	u18756.example.net	90.000	120.000	6.6.6.6	answer	0	0
2	u28756.example.net	40.000	30.000	6.6.6.6	answer	0	0
3	u38756.example.net	50.000	20.000	6.6.6.6	answer	0	0
4	u48756.example.net	40.000	20.000	6.6.6.6	answer	0	0
5	u58756.example.net	60.000	20.000	6.6.6.6	answer	0	0
6	u68756.example.net	50.000	10.000	6.6.6.6	answer	0	0
7	u78756.example.net	40.000	20.000	6.6.6.6	answer	0	0
8	u88756.example.net	30.000	20.000	6.6.6.6	answer	0	0
9	u98756.example.net	60.000	20.000	6.6.6.6	answer	0	0
10	u108756.example.net	60.000	20.000	6.6.6.6	answer	0	0
11	u118756.example.net	60.000	20.000	6.6.6.6	answer	0	0
12	u128756.example.net	40.000	20.000	6.6.6.6	answer	0	0
13	u138756.example.net	40.000	20.000	6.6.6.6	answer	0	0
14	u148756.example.net	50.000	20.000	6.6.6.6	answer	0	0
15	u158756.example.net	40.000	20.000	6.6.6.6	answer	0	0
16	u168756.example.net	50.000	20.000	6.6.6.6	answer	0	0
17	u178756.example.net	40.000	20.000	6.6.6.6	answer	0	0
18	u188756.example.net	30.000	20.000	6.6.6.6	answer	0	0
19	u198756.example.net	50.000	20.000	6.6.6.6	answer	0	0
20	u208756.example.net	60.000	10.000	6.6.6.6	answer	0	0
21	u218756.example.net	30.000	20.000	6.6.6.6	answer	0	0
22	u228756.example.net	50.000	10.000	6.6.6.6	answer	0	0
23	u238756.example.net	50.000	20.000	6.6.6.6	answer	0	0
24	u248756.example.net	30.000	20.000	6.6.6.6	answer	0	0
25	u258756.example.net	50.000	10.000	6.6.6.6	answer	0	0
26	u268756.example.net	50.000	20.000	6.6.6.6	answer	0	0
27	u278756.example.net	40.000	10.000	6.6.6.6	answer	0	0
28	u288756.example.net	40.000	10.000	6.6.6.6	answer	0	0
29	u298756.example.net	40.000	20.000	6.6.6.6	answer	0	0
30	u308756.example.net	50.000	10.000	6.6.6.6	answer	0	0
31	u318756.example.net	50.000	10.000	6.6.6.6	answer	0	0
32	u328756.example.net	30.000	20.000	6.6.6.6	answer	0	0
33	u338756.example.net	40.000	20.000	6.6.6.6	answer	0	0
34	u348756.example.net	50.000	10.000	6.6.6.6	answer	0	0
35	u358756.example.net	40.000	20.000	6.6.6.6	answer	0	0
36	u368756.example.net	40.000	20.000	6.6.6.6	answer	0	0
37	u378756.example.net	40.000	10.000	6.6.6.6	answer	0	0
38	u388756.example.net	40.000	20.000	6.6.6.6	answer	0	0
39	u398756.example.net	50.000	20.000	6.6.6.6	answer	0	0
40	u408756.example.net	50.000	20.000	6.6.6.6	answer	0	0
41	u418756.example.net	50.000	10.000	6.6.6.6	answer	0	0
42	u428756.example.net	40.000	20.000	6.6.6.6	answer	0	0
43	u438756.example.net	50.000	10.000	6.6.6.6	answer	0	0
44	u448756.example.net	50.000	20.000	6.6.6.6	answer	0	0
45	u458756.example.net	40.000	20.000	6.6.6.6	answer	0	0
46	u468756.example.net	40.000	20.000	6.6.6.6	answer	0	0
47	u478756.example.net	40.000	30.000	6.6.6.6	answer	0	0
48	u488756.example.net	40.000	20.000	6.6.6.6	answer	0	0
49	u498756.example.net	50.000	20.000	6.6.6.6	answer	0	0
50	u508756.example.net	50.000	10.000	6.6.6.6	answer	0	0
