[+] E5-unbound probe: zone=example.net, rounds=50, resolver=10.80.0.53, profile=benign-frag
[1/50] trigger=u18680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=110.000ms bank=340.000ms
[2/50] trigger=u28680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=30.000ms
[3/50] trigger=u38680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=30.000ms bank=20.000ms
[4/50] trigger=u48680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=30.000ms bank=10.000ms
[5/50] trigger=u58680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=30.000ms
[6/50] trigger=u68680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=20.000ms
[7/50] trigger=u78680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=50.000ms bank=20.000ms
[8/50] trigger=u88680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=20.000ms
[9/50] trigger=u98680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=20.000ms bank=20.000ms
[10/50] trigger=u108680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=30.000ms
[11/50] trigger=u118680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=60.000ms bank=20.000ms
[12/50] trigger=u128680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=90.000ms bank=10.000ms
[13/50] trigger=u138680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=50.000ms bank=20.000ms
[14/50] trigger=u148680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=50.000ms bank=20.000ms
[15/50] trigger=u158680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=20.000ms
[16/50] trigger=u168680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=30.000ms bank=40.000ms
[17/50] trigger=u178680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=50.000ms bank=20.000ms
[18/50] trigger=u188680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=50.000ms
[19/50] trigger=u198680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=30.000ms bank=20.000ms
[20/50] trigger=u208680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=50.000ms
[21/50] trigger=u218680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=60.000ms bank=30.000ms
[22/50] trigger=u228680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=70.000ms bank=30.000ms
[23/50] trigger=u238680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=70.000ms bank=20.000ms
[24/50] trigger=u248680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=20.000ms
[25/50] trigger=u258680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=50.000ms bank=50.000ms
[26/50] trigger=u268680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=80.000ms bank=20.000ms
[27/50] trigger=u278680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=20.000ms
[28/50] trigger=u288680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=40.000ms
[29/50] trigger=u298680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=50.000ms bank=30.000ms
[30/50] trigger=u308680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=60.000ms bank=20.000ms
[31/50] trigger=u318680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=20.000ms
[32/50] trigger=u328680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=50.000ms bank=40.000ms
[33/50] trigger=u338680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=60.000ms bank=20.000ms
[34/50] trigger=u348680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=50.000ms bank=20.000ms
[35/50] trigger=u358680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=50.000ms bank=20.000ms
[36/50] trigger=u368680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=50.000ms bank=30.000ms
[37/50] trigger=u378680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=30.000ms bank=20.000ms
[38/50] trigger=u388680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=60.000ms bank=30.000ms
[39/50] trigger=u398680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=20.000ms
[40/50] trigger=u408680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=50.000ms bank=20.000ms
[41/50] trigger=u418680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=10.000ms
[42/50] trigger=u428680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=50.000ms bank=10.000ms
[43/50] trigger=u438680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=20.000ms
[44/50] trigger=u448680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=10.000ms
[45/50] trigger=u458680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=40.000ms bank=10.000ms
[46/50] trigger=u468680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=50.000ms bank=30.000ms
[47/50] trigger=u478680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=30.000ms bank=30.000ms
[48/50] trigger=u488680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=30.000ms bank=30.000ms
[49/50] trigger=u498680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=30.000ms bank=30.000ms
[50/50] trigger=u508680.example.net status=answer rc=0 bank.com -> 203.0.113.80 rc=0 | trigger=30.000ms bank=20.000ms
