role,profile,level,condition,space,metric,mean,ci_low,ci_high,pairs
primary,bursty,120,attack_sweep_bursty,2048,B2_benign_trigger,1.0,1.0,1.0,6
primary,bursty,120,attack_sweep_bursty,2048,B5_initial_FNR,0.0,0.0,0.0,6
primary,bursty,120,attack_sweep_bursty,2048,B5_initial_J,0.0,0.0,0.0,6
primary,bursty,120,attack_sweep_bursty,2048,B5_initial_attack_alert,1.0,1.0,1.0,6
primary,bursty,120,attack_sweep_bursty,2048,B5_initial_benign_trigger,1.0,1.0,1.0,6
primary,bursty,120,attack_sweep_bursty,2048,B5_locked_FNR,0.012222222222222245,0.004444444444444455,0.024444444444444473,6
primary,bursty,120,attack_sweep_bursty,2048,B5_locked_J,0.005555555555555518,-3.7470027081098875e-17,0.011111111111111072,6
primary,bursty,120,attack_sweep_bursty,2048,B5_locked_attack_alert,0.9877777777777776,0.9755555555555556,0.9955555555555554,6
primary,bursty,120,attack_sweep_bursty,2048,B5_locked_benign_trigger,0.9822222222222221,0.9755555555555556,0.9866666666666667,6
primary,bursty,120,attack_sweep_bursty,2048,entropy_AP,0.5643380833048641,0.5542522610471173,0.5764141881287951,6
primary,bursty,120,attack_sweep_bursty,2048,unique_ratio_AP,0.8326263837079934,0.8157411026477691,0.8500423297886441,6
primary,bursty,120,attack_sweep_bursty,65536,B2_FNR,0.0,0.0,0.0,6
primary,bursty,120,attack_sweep_bursty,65536,B2_J,0.0,0.0,0.0,6
primary,bursty,120,attack_sweep_bursty,65536,B2_attack_alert,1.0,1.0,1.0,6
primary,bursty,120,attack_sweep_bursty,65536,B2_benign_trigger,1.0,1.0,1.0,6
primary,bursty,120,attack_sweep_bursty,65536,B5_initial_FNR,0.0,0.0,0.0,6
primary,bursty,120,attack_sweep_bursty,65536,B5_initial_J,0.0,0.0,0.0,6
primary,bursty,120,attack_sweep_bursty,65536,B5_initial_attack_alert,1.0,1.0,1.0,6
primary,bursty,120,attack_sweep_bursty,65536,B5_initial_benign_trigger,1.0,1.0,1.0,6
primary,bursty,120,attack_sweep_bursty,65536,B5_locked_FNR,0.00888888888888891,0.003333333333333355,0.016666666666666663,6
