round	qname	trigger_ms	bank_ms	bank_ip	trigger_status	trigger_rc	bank_rc
1	u18851.example.net	90.000	330.000	203.0.113.80	answer	0	0
2	u28851.example.net	30.000	20.000	203.0.113.80	answer	0	0
3	u38851.example.net	60.000	20.000	203.0.113.80	answer	0	0
4	u48851.example.net	50.000	20.000	203.0.113.80	answer	0	0
5	u58851.example.net	50.000	20.000	203.0.113.80	answer	0	0
6	u68851.example.net	70.000	10.000	203.0.113.80	answer	0	0
7	u78851.example.net	50.000	20.000	203.0.113.80	answer	0	0
8	u88851.example.net	50.000	40.000	203.0.113.80	answer	0	0
9	u98851.example.net	40.000	20.000	203.0.113.80	answer	0	0
10	u108851.example.net	50.000	20.000	203.0.113.80	answer	0	0
11	u118851.example.net	60.000	10.000	203.0.113.80	answer	0	0
12	u128851.example.net	30.000	20.000	203.0.113.80	answer	0	0
13	u138851.example.net	50.000	20.000	203.0.113.80	answer	0	0
14	u148851.example.net	40.000	20.000	203.0.113.80	answer	0	0
15	u158851.example.net	50.000	30.000	203.0.113.80	answer	0	0
16	u168851.example.net	40.000	20.000	203.0.113.80	answer	0	0
17	u178851.example.net	40.000	20.000	203.0.113.80	answer	0	0
18	u188851.example.net	50.000	20.000	203.0.113.80	answer	0	0
19	u198851.example.net	60.000	20.000	203.0.113.80	answer	0	0
20	u208851.example.net	30.000	30.000	203.0.113.80	answer	0	0
21	u218851.example.net	30.000	30.000	203.0.113.80	answer	0	0
22	u228851.example.net	40.000	30.000	203.0.113.80	answer	0	0
23	u238851.example.net	50.000	20.000	203.0.113.80	answer	0	0
24	u248851.example.net	60.000	10.000	203.0.113.80	answer	0	0
25	u258851.example.net	60.000	20.000	203.0.113.80	answer	0	0
26	u268851.example.net	40.000	20.000	203.0.113.80	answer	0	0
27	u278851.example.net	30.000	20.000	203.0.113.80	answer	0	0
28	u288851.example.net	50.000	10.000	203.0.113.80	answer	0	0
29	u298851.example.net	40.000	20.000	203.0.113.80	answer	0	0
30	u308851.example.net	40.000	10.000	203.0.113.80	answer	0	0
31	u318851.example.net	50.000	10.000	203.0.113.80	answer	0	0
32	u328851.example.net	50.000	30.000	203.0.113.80	answer	0	0
33	u338851.example.net	60.000	10.000	203.0.113.80	answer	0	0
34	u348851.example.net	40.000	20.000	203.0.113.80	answer	0	0
35	u358851.example.net	50.000	30.000	203.0.113.80	answer	0	0
36	u368851.example.net	40.000	30.000	203.0.113.80	answer	0	0
37	u378851.example.net	40.000	30.000	203.0.113.80	answer	0	0
38	u388851.example.net	50.000	20.000	203.0.113.80	answer	0	0
39	u398851.example.net	40.000	20.000	203.0.113.80	answer	0	0
40	u408851.example.net	290.000	20.000	203.0.113.80	answer	0	0
41	u418851.example.net	40.000	30.000	203.0.113.80	answer	0	0
42	u428851.example.net	340.000	20.000	203.0.113.80	servfail	0	0
43	u438851.example.net	30.000	10.000	203.0.113.80	answer	0	0
44	u448851.example.net	300.000	140.000	203.0.113.80	answer	0	0
45	u458851.example.net	50.000	30.000	203.0.113.80	answer	0	0
46	u468851.example.net	30.000	10.000	203.0.113.80	answer	0	0
47	u478851.example.net	460.000	30.000	203.0.113.80	servfail	0	0
48	u488851.example.net	250.000	20.000	203.0.113.80	answer	0	0
49	u498851.example.net	40.000	10.000	203.0.113.80	answer	0	0
50	u508851.example.net	30.000	30.000	203.0.113.80	answer	0	0
