lab,case,run,rounds,total,poisoned,asr_pct,latency_avg_ms,latency_p95_ms
oob,baseline,1,150,150,0,0.00,277.595,273.263
oob,attack-off,1,150,150,0,0.00,277.588,274.090
oob,attack-on,1,150,150,0,0.00,277.655,274.598
sfrag,baseline,1,150,150,0,0.00,277.537,273.299
sfrag,attack-off,1,150,150,0,0.00,280.277,273.036
sfrag,attack-on,1,150,150,0,0.00,277.769,275.585
